ID,Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Duration,ConcreteCS
171,,97.1,0.0,157.9,,,,91,
172,,0.0,0.0,,,852.1,,,
173,,106.3,0.0,153.5,,852.1,,,
174,,,0.0,155.7,,852.1,,,
175,401.8,94.7,0.0,147.4,11.4,946.8,,,
176,,,0.0,164.9,,944.7,,,
177,,,0.0,,,,605.0,,
178,,,0.0,164.9,,,755.8,,
179,286.3,,0.0,144.7,,,,91,
180,362.6,,0.0,164.9,11.6,944.7,755.8,91,
181,,,0.0,186.0,11.1,884.9,,,
182,,,,145.9,,944.7,755.8,,
183,,,0.0,164.9,,,,,79.3
184,337.9,,0.0,174.9,,944.7,755.8,,
185,222.4,0.0,96.7,,4.5,967.1,,3,11.58
186,222.4,0.0,,,4.5,967.1,,,24.45
187,222.4,0.0,,189.3,,967.1,,,24.89
188,222.4,,,189.3,4.5,967.1,,,29.45
189,,0.0,,,4.5,967.1,,,
190,233.8,0.0,94.6,,,947.0,,,10.38
191,233.8,0.0,94.6,197.9,4.6,947.0,852.2,,22.14
192,233.8,0.0,,,4.6,,,28,
193,,,,,4.6,947.0,,,
194,233.8,0.0,,,,,,,
195,,0.0,,165.6,,,,3,12.45
196,194.7,0.0,,,7.5,,,,24.99
197,194.7,0.0,,,,,,,25.72
198,194.7,0.0,100.5,,,,,,33.96
199,194.7,0.0,,165.6,,,,,
200,190.7,,,162.1,,,,,
201,190.7,0.0,,162.1,,,,,
202,190.7,0.0,,,,,804.0,28,26.4
203,,0.0,,162.1,7.8,,,,35.34
204,190.7,,,162.1,,,,100,40.57
205,212.1,0.0,,,5.7,,,3,12.47
206,212.1,0.0,121.6,180.3,5.7,,779.3,,20.92
207,212.1,,,,,,779.3,,24.9
208,212.1,0.0,,180.3,5.7,,779.3,,34.2
209,212.1,0.0,,,5.7,,779.3,,
210,,0.0,118.3,,4.6,,758.6,3,10.03
211,230.0,,118.3,,,1029.4,,,20.08
212,230.0,,118.3,,4.6,,758.6,28,
213,230.0,0.0,118.3,,4.6,,,,31.54
214,,0.0,,,4.6,1029.4,758.6,,
215,190.3,,,161.9,,,802.6,3,9.45
216,190.3,0.0,,,,,802.6,,
217,190.3,0.0,,,,,,28,28.47
218,,0.0,,161.9,9.9,,,56,
219,190.3,0.0,,161.9,9.9,,,,40.39
220,,0.0,,176.5,,,,3,10.76
221,,0.0,,176.5,4.5,1058.6,,14,25.48
222,166.1,,,176.5,4.5,,780.1,28,21.54
223,166.1,0.0,,,4.5,,780.1,,
224,166.1,0.0,163.3,176.5,4.5,,,100,
225,168.0,,,121.8,,,,,7.75
226,168.0,42.1,,121.8,5.7,,780.1,14,
227,168.0,,,121.8,,1058.7,,28,24.24
228,168.0,,,121.8,5.7,,780.1,56,
229,,,,121.8,,,780.1,100,
230,213.7,,24.5,,6.9,,785.4,3,18.0
231,213.7,98.1,24.5,181.7,,,,,
232,213.7,,24.5,,6.9,,785.4,28,45.71
233,213.7,,24.5,181.7,,1065.8,785.4,,
234,213.7,,,181.7,,,,100,
235,213.8,,24.5,181.7,,,,3,13.18
236,213.8,98.1,,181.7,,,,,17.84
237,,98.1,24.5,181.7,,,,,
238,213.8,98.1,,181.7,,,,,
239,213.8,98.1,,181.7,6.7,1066.0,,100,
240,229.7,0.0,,,,1028.1,757.6,3,13.36
241,229.7,0.0,,,6.1,,757.6,,22.32
242,,,118.2,,6.1,,,28,
243,229.7,0.0,118.2,,6.1,,757.6,56,
244,229.7,0.0,,,6.1,1028.1,,,
245,,0.0,,186.7,,949.9,,3,
246,,0.0,,,,949.9,,,25.69
247,238.1,0.0,,186.7,,949.9,,28,
248,,0.0,94.1,186.7,,949.9,,,
249,238.1,0.0,,186.7,,,,100,
250,,0.0,,187.4,,956.9,,,13.82
251,,0.0,,,5.5,,,14,
252,250.0,0.0,,,5.5,,,,29.22
253,250.0,0.0,95.7,,,956.9,,,
254,250.0,0.0,,187.4,5.5,956.9,,,42.35
255,,0.0,100.4,159.3,,,,3,13.54
256,,0.0,100.4,159.3,8.7,,,,26.31
257,212.5,0.0,100.4,,,,,28,31.64
258,212.5,0.0,100.4,159.3,8.7,,903.6,56,42.55
259,212.5,,,159.3,,,,,
260,212.6,0.0,100.4,,,1003.8,,,13.33
261,,0.0,,159.4,,,,14,25.37
262,212.6,0.0,100.4,159.4,,,,,
263,212.6,0.0,,159.4,,1003.8,,,
264,212.6,0.0,,159.4,,,,,
265,,0.0,,,7.8,,,3,19.52
266,,0.0,,159.0,7.8,,,,
267,,0.0,,159.0,7.8,,799.5,,38.5
268,,,,,7.8,1085.4,,56,45.08
269,,0.0,,159.0,7.8,,,,
270,231.8,0.0,,,,,778.5,3,15.44
271,,0.0,,174.0,,,778.5,,26.77
272,,,,174.0,,,778.5,28,
273,,0.0,121.6,174.0,6.7,,,,
274,,0.0,,174.0,6.7,1056.4,778.5,,45.84
275,251.4,0.0,,,5.8,,757.7,3,17.22
276,251.4,0.0,118.3,,,1028.4,757.7,,
277,251.4,0.0,118.3,,5.8,,,28,29.65
278,251.4,0.0,118.3,188.5,,1028.4,,,
279,251.4,0.0,,,5.8,,757.7,,
280,251.4,0.0,,,6.4,,757.7,3,13.12
281,251.4,0.0,,,,1028.4,757.7,,24.43
282,,0.0,118.3,,6.4,1028.4,757.7,,32.66
283,251.4,0.0,,,,,757.7,56,36.64
284,251.4,,,,,1028.4,,,
285,181.4,,,169.6,,,777.8,,13.62
286,181.4,0.0,,169.6,7.6,1055.6,777.8,,
287,,0.0,,169.6,7.6,,,28,
288,181.4,0.0,,169.6,,,777.8,,35.57
289,181.4,0.0,,169.6,,,,,
290,182.0,,,170.2,,,,,7.32
291,,,,170.2,,,,,21.5
292,182.0,,,,,1059.4,,28,31.27
293,182.0,,,,,,,,
294,182.0,,,170.2,8.2,,,,
295,168.9,42.2,,158.3,,1080.8,,3,7.4
296,,,,158.3,,,796.2,,23.51
297,168.9,,,158.3,,1080.8,,28,31.12
298,168.9,42.2,,,,,,,
299,168.9,42.2,,158.3,,,796.2,,
300,,0.0,96.2,,9.4,961.2,,3,22.5
301,,,,168.1,9.4,,,,
302,290.4,0.0,96.2,,,,,28,34.74
303,,0.0,,168.1,,961.2,,56,45.08
304,,0.0,96.2,168.1,9.4,961.2,,,
305,,0.0,,,,,,3,23.14
306,,0.0,,160.6,,,,14,
307,277.1,0.0,,160.6,,,,28,
308,277.1,,,,,973.9,,,
309,277.1,0.0,97.4,160.6,,,,100,
310,,0.0,,171.5,8.9,,,,22.95
311,,,,,8.9,,,,35.23
312,,0.0,95.6,,,955.1,,,
313,295.7,0.0,95.6,,8.9,955.1,,,
314,295.7,0.0,,171.5,,,,,52.04
315,,0.0,,146.1,,,899.8,3,21.02
316,251.8,0.0,,146.1,,1006.0,,,33.36
317,,,,146.1,,1006.0,,28,
318,,0.0,99.9,146.1,,,,,44.14
319,,0.0,,146.1,,,899.8,,
320,,0.0,,158.1,,,,,15.36
321,,0.0,98.8,158.1,,,,14,28.68
322,249.1,0.0,,158.1,,987.8,,,30.85
323,249.1,0.0,,158.1,,,,,
324,,,98.8,158.1,12.8,987.8,,100,
325,252.3,0.0,98.8,146.3,,,,3,21.78
326,252.3,0.0,,146.3,14.2,987.8,,,
327,,0.0,,146.3,,,,28,
328,,0.0,,146.3,14.2,,,,
329,252.3,0.0,,146.3,,987.8,,,
330,,0.0,,143.3,,,,3,23.52
331,246.8,0.0,,,,1086.8,800.9,,
332,,0.0,,143.3,,,,28,
333,246.8,,,143.3,,,800.9,,
334,246.8,0.0,125.1,143.3,,,800.9,,
335,275.1,0.0,,159.5,9.9,,,,23.8
336,275.1,0.0,,159.5,9.9,,,14,
337,,0.0,,159.5,,,777.5,28,
338,275.1,0.0,,159.5,9.9,,777.5,,
339,275.1,0.0,121.4,159.5,,,777.5,,
340,297.2,0.0,,174.8,,,753.5,3,21.91
341,,0.0,117.5,174.8,9.5,,753.5,,36.99
342,,0.0,117.5,,,1022.8,753.5,28,
343,,0.0,,,,,753.5,,
344,,0.0,117.5,174.8,,1022.8,753.5,,
345,,0.0,,154.8,,,776.4,,17.57
346,,,,154.8,,,776.4,14,33.73
347,,0.0,,154.8,,,776.4,,40.15
348,213.7,0.0,,154.8,10.2,,776.4,,
349,213.7,0.0,,154.8,,,776.4,,
350,213.5,0.0,,,,,775.5,,
351,,0.0,,154.6,,,,,
352,213.5,,,154.6,,,775.5,,
353,213.5,,,154.6,,,,56,
354,213.5,0.0,,154.6,,,775.5,,
355,277.2,97.8,24.5,,,,,3,30.45
356,277.2,97.8,,,11.2,,,,
357,277.2,,24.5,160.7,11.2,,782.5,28,
358,,97.8,24.5,160.7,,,782.5,,
359,,97.8,,160.7,,,782.5,100,
360,218.2,,,,,,,3,27.42
361,218.2,,,140.8,,,792.7,,
362,218.2,,,,,,,28,
363,218.2,54.6,,140.8,,,,,
364,218.2,54.6,,140.8,,,,,
365,214.9,,,155.6,9.6,,780.6,3,18.02
366,214.9,,,155.6,,1014.3,,14,38.6
367,214.9,53.8,,155.6,,1014.3,,28,
368,214.9,53.8,121.9,155.6,,,780.6,,
369,214.9,,,155.6,,,780.6,100,
370,218.9,0.0,,158.5,,,794.9,3,15.34
371,218.9,0.0,,158.5,,,,,
372,,,,158.5,,,,28,
373,,0.0,,158.5,,,,56,
374,,,,158.5,,,794.9,,
375,,0.0,0.0,,,1003.5,,,16.28
376,,,,,0.0,,,,
377,,0.0,0.0,,0.0,,762.4,28,
378,,0.0,0.0,,0.0,,762.4,,
379,,,0.0,,0.0,,,,
380,,0.0,0.0,140.0,4.0,966.0,,,
381,475.0,,59.0,142.0,1.9,,641.0,28,
382,,,0.0,145.0,5.9,,745.0,,
383,,0.0,60.0,,0.0,,630.0,,
384,,0.0,0.0,,,,,,
385,,0.0,0.0,162.0,,,802.0,28,41.37
386,,0.0,0.0,,5.2,855.0,855.0,28,
387,,0.0,0.0,185.0,6.9,920.0,720.0,28,
388,,0.0,0.0,175.0,,870.0,805.0,28,
389,,0.0,,158.0,,903.0,,28,
390,,0.0,0.0,,3.0,,613.2,28,
391,,50.0,0.0,,3.0,,,,39.38
392,,,,,,967.0,633.0,,
393,,17.5,,167.0,,,,28,
394,,17.6,,189.0,,,633.0,28,
395,,,0.0,,0.0,,695.0,28,
396,,,,,0.0,,660.0,28,
397,,0.0,,162.0,,801.0,,28,
398,145.0,,,184.0,5.7,833.0,,28,29.16
399,160.0,128.0,,182.0,,824.0,,28,39.4
400,,,0.0,,,,760.0,28,
401,250.0,,,,,,,,
402,,0.0,,162.0,9.5,,662.0,28,
403,285.0,190.0,0.0,163.0,,,685.0,,
404,,,0.0,160.0,,,657.0,,
405,,,,162.0,,830.0,765.0,,
406,,0.0,0.0,151.0,,,655.0,,
407,165.0,0.0,,163.8,0.0,,,3,14.4
408,165.0,128.5,,175.1,8.1,,,3,19.42
409,178.0,129.8,,,3.6,1007.3,,3,20.73
410,167.4,,,175.5,7.8,1006.3,,3,
411,,13.6,,156.8,,,,3,
412,173.5,,,164.8,,,,3,23.08
413,167.0,,,164.0,,,770.1,,15.52
414,,93.4,,,,,746.6,3,15.82
415,190.3,0.0,,166.6,,,,3,12.55
416,,,,,,948.9,,3,8.49
417,,0.0,,159.2,,,771.9,3,15.61
418,194.7,0.0,100.5,170.2,,,,3,
419,251.4,0.0,,,5.8,,754.3,3,11.98
420,165.0,0.0,,163.8,0.0,,,,16.88
421,165.0,128.5,132.1,175.1,,,746.6,14,
422,178.0,,,179.9,3.6,1007.3,,,34.24
423,167.4,129.9,,,7.8,1006.3,,,31.81
424,172.4,,,156.8,4.1,,,,
425,173.5,,,164.8,,1006.2,,,33.01
426,,,,164.0,,,,,32.9
427,173.8,,,172.3,9.7,,,14,
428,190.3,0.0,,166.6,,,,14,19.42
429,,0.0,,,,948.9,,,
430,213.5,0.0,,,,,771.9,,29.59
431,,0.0,,170.2,7.5,998.0,,,24.28
432,251.4,0.0,,,5.8,,754.3,,20.73
433,165.0,0.0,,163.8,0.0,,,,26.2
434,165.0,,,,8.1,1005.8,,,
435,178.0,,,,3.6,,746.8,28,39.16
436,167.4,129.9,,175.5,7.8,,,28,41.2
437,172.4,13.6,,156.8,4.1,,,,
438,173.5,,,164.8,,1006.2,,28,38.2
439,167.0,,,164.0,,1007.3,770.1,,41.41
440,173.8,,,172.3,,1007.2,746.6,28,
441,190.3,0.0,,166.6,9.9,,798.9,28,24.85
442,250.0,,,191.8,,,,,27.22
443,213.5,0.0,,159.2,,,,,44.64
444,194.7,0.0,100.5,,7.5,998.0,,28,
445,,0.0,118.3,,5.8,,754.3,28,33.27
446,165.0,0.0,,163.8,0.0,1005.6,,,
447,165.0,,,,,,,,
448,,,118.6,,,1007.3,746.8,,
449,167.4,,,175.5,,1006.3,746.6,,
450,,13.6,,156.8,4.1,,,,
451,173.5,50.1,,,6.5,,793.5,,53.77
452,,,,164.0,,1007.3,770.1,,
453,173.8,,,,,,746.6,,
454,,,,,,,,,31.72
455,,0.0,,191.8,5.3,,,56,
456,213.5,0.0,,159.2,,,,,
457,194.7,0.0,,170.2,,998.0,,,
458,251.4,0.0,118.3,,5.8,,754.3,,39.27
459,165.0,0.0,,,0.0,,,,
460,165.0,,,175.1,8.1,1005.8,746.6,,
461,178.0,129.8,,179.9,3.6,1007.3,746.8,,
462,,,,,7.8,,746.6,100,
463,172.4,,,,,,,,
464,173.5,,,,6.5,,793.5,,
465,167.0,,,164.0,,1007.3,770.1,,
466,173.8,,,,,,746.6,,
467,,,,,,,,,
468,250.0,0.0,,,5.3,948.9,,100,
469,,0.0,174.2,,11.7,,,,
470,194.7,0.0,100.5,170.2,7.5,998.0,,,44.28
471,,0.0,118.3,192.9,,,754.3,,40.15
472,,,79.0,162.0,,,712.0,28,
473,,,,162.0,,,712.0,,44.42
474,446.0,24.0,,162.0,,967.0,712.0,,51.02
475,,24.0,79.0,162.0,,967.0,712.0,28,
476,,,,162.0,,,712.0,,35.36
477,446.0,,,162.0,,967.0,712.0,3,25.02
478,,24.0,,,,967.0,,,23.35
479,,,,,11.6,967.0,712.0,7,
480,,24.0,,162.0,11.6,967.0,712.0,7,
481,,,,162.0,,967.0,,7,
482,,,,162.0,,967.0,712.0,,
483,,24.0,79.0,162.0,,967.0,712.0,,
484,,,,162.0,,967.0,712.0,56,
485,,,79.0,162.0,,967.0,712.0,56,
486,,20.0,94.0,,,,,28,
487,,,94.0,,,938.0,,28,
488,,20.0,,157.0,,938.0,,28,
489,,,94.0,157.0,,938.0,,3,22.75
490,,,,,,938.0,,3,25.51
491,,,,,,,,,34.77
492,,20.0,94.0,157.0,,,,7,
493,,20.0,94.0,157.0,,938.0,,7,
494,387.0,,94.0,157.0,11.6,,,7,41.67
495,,20.0,,157.0,,,,56,
496,,20.0,,,,938.0,,,
497,,,94.0,,,,845.0,,
498,,19.0,,,,967.0,,28,44.03
499,,19.0,,,,967.0,,28,
500,,,,,,882.0,,28,55.55
501,,26.0,,,,822.0,699.0,,
502,,26.0,,,,882.0,699.0,3,25.61
503,,26.0,,,3.9,882.0,,,
504,,,,210.0,,882.0,699.0,,
505,,,,,3.9,822.0,699.0,3,
506,,26.0,,,3.9,822.0,699.0,7,37.92
507,,,,,,822.0,699.0,,
508,,,,178.0,8.5,822.0,750.0,28,
509,424.0,22.0,,178.0,8.5,882.0,750.0,3,
510,,,,168.0,8.9,822.0,,28,
511,,22.0,,178.0,8.5,822.0,,,39.0
512,,,,,,822.0,750.0,56,
513,,,132.0,168.0,8.9,822.0,750.0,,32.11
514,,22.0,,168.0,8.9,822.0,,7,
515,,,,168.0,,822.0,750.0,,
516,202.0,11.0,,,,942.0,,28,21.97
517,,,,,1.7,,,3,9.85
518,202.0,11.0,,,1.7,,801.0,7,15.07
519,202.0,11.0,,,,,801.0,,23.25
520,284.0,,,179.0,,842.0,,,
521,,15.0,,179.0,5.5,842.0,801.0,3,13.4
522,,,,179.0,5.5,842.0,,,
523,284.0,,,,,842.0,,,
524,,,,154.0,10.9,942.0,,28,
525,,19.0,,154.0,,,,28,
526,,,,154.0,,,,3,
527,359.0,19.0,141.0,154.0,10.9,942.0,,3,23.64
528,,,,154.0,,,,7,
529,,19.0,,154.0,,,,7,38.61
530,,19.0,,154.0,,,,56,
531,,19.0,141.0,154.0,,,801.0,,
532,,0.0,0.0,,0.0,838.4,719.7,28,23.85
533,289.0,0.0,0.0,,0.0,913.2,,,
534,,,0.0,192.0,0.0,913.2,,3,
535,,0.0,0.0,,0.0,940.6,785.6,3,19.2
536,,0.0,,,0.0,,785.6,,
537,,0.0,0.0,192.0,0.0,,,,39.6
538,,0.0,0.0,,0.0,936.2,,28,
539,,0.0,0.0,,,,712.2,,34.57
540,,0.0,0.0,192.0,0.0,,712.2,,
541,,0.0,0.0,192.0,,,712.2,3,
542,,0.0,0.0,192.0,0.0,931.2,,3,15.62
543,255.0,0.0,0.0,,0.0,,,,21.86
544,255.0,0.0,0.0,192.0,0.0,,945.0,,10.22
545,289.0,0.0,0.0,,,913.2,,7,14.6
546,,0.0,0.0,,0.0,889.8,,28,18.75
547,,,0.0,,0.0,931.2,,,31.97
548,,0.0,0.0,192.0,,931.2,,7,23.4
549,289.0,0.0,0.0,192.0,0.0,,,,25.57
550,,0.0,0.0,,0.0,931.2,,,
551,,0.0,0.0,,0.0,,,7,27.74
552,,,0.0,192.0,,889.8,,3,8.2
553,158.8,,0.0,,0.0,,734.3,,9.62
554,239.6,,0.0,,,,664.3,,25.42
555,,,0.0,,0.0,,734.3,7,15.69
556,181.9,,,,,,,28,27.94
557,193.5,,0.0,,0.0,998.2,704.3,,32.63
558,255.5,,0.0,,0.0,1026.6,724.3,7,17.24
559,272.8,,0.0,,0.0,,714.3,,19.77
560,,,0.0,185.7,0.0,,664.3,,39.44
561,220.8,,0.0,,0.0,1055.0,744.3,,
562,,,0.0,185.7,0.0,,,28,33.08
563,,0.0,0.0,,0.0,,739.3,,24.07
564,210.7,,0.0,185.7,0.0,,689.3,7,21.82
565,158.8,,0.0,,0.0,,,,21.07
566,,0.0,0.0,,0.0,1091.4,,7,14.84
567,,,0.0,,,1026.6,724.3,,32.05
568,203.5,,0.0,185.7,0.0,,759.3,7,11.96
569,,,0.0,,0.0,,734.3,,25.45
570,,,0.0,185.7,0.0,,784.3,,22.49
571,,,0.0,185.7,0.0,,769.3,,25.22
572,,342.1,0.0,,0.0,,674.3,28,
573,220.8,,0.0,185.7,0.0,,,,13.09
574,316.1,,0.0,,0.0,,689.3,28,38.7
575,135.7,,,185.7,0.0,,,7,7.51
576,238.1,0.0,,,0.0,,,28,17.58
577,339.2,0.0,0.0,,0.0,,754.3,7,21.18
578,135.7,203.5,0.0,,0.0,,759.3,28,18.2
579,193.5,,0.0,,0.0,998.2,704.3,7,17.2
580,203.5,135.7,0.0,,0.0,,759.3,28,22.63
581,290.2,,0.0,,,998.2,704.3,7,21.86
582,,,0.0,,0.0,1012.4,714.3,,12.37
583,170.3,,0.0,,0.0,,,28,
584,210.7,,0.0,,0.0,,689.3,28,
585,,,0.0,185.7,0.0,955.8,674.3,7,21.92
586,290.2,193.5,0.0,,0.0,,704.3,28,33.04
587,381.4,,0.0,185.7,0.0,,784.3,7,14.54
588,238.2,,0.0,,0.0,,734.3,,26.91
589,186.2,,0.0,,0.0,1083.4,764.3,7,8.0
590,,0.0,0.0,,0.0,1069.2,,28,
591,238.1,0.0,0.0,,0.0,,,7,10.34
592,252.5,0.0,,185.7,0.0,,784.3,28,19.77
593,,0.0,0.0,,0.0,,,,37.44
594,,0.0,0.0,,0.0,,,7,11.48
595,316.1,,0.0,,0.0,977.0,689.3,7,
596,186.2,,0.0,185.7,0.0,,764.3,,17.6
597,,,0.0,,0.0,,,7,10.73
598,272.8,,0.0,,0.0,1012.4,714.3,28,
