ID,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,mpg
226,6.0,225.0,,3630.0,,,1,
227,,250.0,98.0,3525.0,,77,,
228,,400.0,180.0,4220.0,11.1,,1,
229,,,,,,77,,15.5
230,,,,4325.0,12.2,77,1,
231,,,149.0,4335.0,,,,16.0
232,4.0,97.0,78.0,1940.0,14.5,,2,
233,,,,,,77,,
234,,97.0,75.0,,,,3,26.0
235,,140.0,,2755.0,15.8,,1,
236,,98.0,63.0,,17.0,,1,
237,4.0,,,2075.0,15.9,77,,33.5
238,,,,,,77,,30.0
239,4.0,,,,14.1,77,,
240,,,97.0,2815.0,14.5,,,22.0
241,,,,2600.0,,,,21.5
242,,,,,,,3,
243,4.0,90.0,48.0,1985.0,,,2,
244,,98.0,,1800.0,14.4,,,
245,4.0,,52.0,,19.4,,,
246,,85.0,,2070.0,18.6,78,3,39.4
247,4.0,,,,,,3,
248,8.0,260.0,,,15.5,,1,
249,,318.0,,,13.2,,,19.4
250,8.0,,,3570.0,,78,,
251,,,,,,78,,
252,,,95.0,,18.2,78,,
253,,200.0,85.0,,15.8,,,20.2
254,,,,,,,1,25.1
255,,,,,,,1,20.5
256,,,90.0,,17.2,,1,19.4
257,6.0,231.0,,3380.0,15.8,78,1,
258,,,,,16.7,,1,
259,,225.0,,3620.0,,78,,18.6
260,,258.0,120.0,,,,,
261,8.0,,,,13.2,78,1,19.2
262,6.0,,,,,,,
263,8.0,,139.0,,,,,18.1
264,,318.0,140.0,4080.0,,,,
265,,98.0,68.0,,16.5,,,
266,,134.0,95.0,2560.0,,78,3,27.5
267,4.0,,97.0,2300.0,14.7,,,
268,,,75.0,,,,,30.9
269,,,,2515.0,14.8,,,21.1
270,4.0,,,2745.0,,,1,23.2
271,,151.0,,2855.0,17.6,,,23.8
272,,,,2405.0,,,,
273,5.0,,103.0,,15.9,78,,
274,,,,,,78,,
275,4.0,,,,,,2,
276,,163.0,,,15.8,78,,16.2
277,4.0,,,,,,2,
278,,98.0,,,,78,,
279,,,,,,,,
280,6.0,,85.0,2990.0,,,1,19.8
281,,140.0,,,,,,
282,6.0,,,3265.0,,,,
283,,,110.0,,16.6,79,1,
284,,,130.0,,,,1,
285,,,129.0,3725.0,,79,,
286,,351.0,,3955.0,13.2,,,
287,,318.0,,3830.0,,79,,18.2
288,8.0,350.0,155.0,,,,,
289,,,,,,79,1,15.5
290,,267.0,,,,,,
291,,,,,13.0,79,1,18.5
292,,,,,,,,
293,,,,,,79,,
294,4.0,,,,,,,
295,4.0,,,2670.0,,79,1,
296,5.0,,,,,79,2,
297,,,,,17.4,,1,23.0
298,4.0,,,,,,,
299,8.0,,90.0,,,,1,23.9
300,,,,,,,1,
301,,,,,,,,
302,,,,,,,3,31.8
303,,91.0,69.0,,,,,
304,,151.0,90.0,2670.0,16.0,,,
305,,,,,,,1,28.8
306,6.0,173.0,,2700.0,,,1,
307,,,,,,79,,
308,,,,,,,,
309,,,60.0,1968.0,,,,
310,,98.0,,,,80,1,32.1
311,,86.0,,,,,,
312,,,90.0,,16.5,80,1,
313,,,,,18.1,80,,26.4
314,,151.0,90.0,,20.1,80,,
315,6.0,,90.0,,,,,
316,4.0,97.0,,,,,,34.3
317,,,,,,,,
318,4.0,,,,17.5,80,,
319,4.0,,,,,,3,37.0
320,4.0,,,,,80,,
321,,,,2110.0,,80,,46.6
322,,156.0,,,,,,
323,,,65.0,,19.2,,,
324,,,48.0,,,,,
325,,,,,,,2,
326,,,,,,,,36.4
327,,,,3250.0,,,,30.0
328,,,,1850.0,,80,,44.6
329,4.0,,,2145.0,,,,
330,,,62.0,,,80,2,
331,,,132.0,,11.4,80,,32.7
332,,,100.0,2420.0,,,,
333,,,,,,80,,
334,,,,,17.0,80,,32.4
335,,,,,15.7,,,
336,,,84.0,,,,,
337,,,92.0,,,,1,
338,,173.0,,,,,1,23.5
339,4.0,,,,,,,
340,,,,,,,,
341,,,,,,,1,
342,,81.0,,,,,,
343,,,,,17.8,,,
344,4.0,,,,,,,
345,4.0,,,,,,,
346,,91.0,,,,,3,
347,,105.0,,,14.9,,,
348,,,,,16.2,,1,
349,,,,,,,1,
350,,,,,14.2,,,
351,,,,2210.0,,,,33.7
352,,,,2350.0,,,3,
353,,,100.0,,,,,
354,,,74.0,,,,,
355,,,,,,,,28.1
356,,,,,,,,
357,,168.0,,,,81,3,25.4
358,,,120.0,2930.0,,,,
359,,,,3415.0,15.8,,,
360,8.0,,,,,,,
361,,200.0,,,17.1,,,20.2
362,6.0,,,,,81,,
363,,,88.0,2605.0,,,,
364,,,,2640.0,,,,
365,,,,,,82,,
366,,,,,,,1,31.0
367,,,,,16.0,,1,
368,,,90.0,,18.0,,,
369,4.0,,,,,,,
370,,,,1980.0,,,,
371,4.0,,,2025.0,,,3,37.0
372,4.0,,,,17.6,,,
373,,,,2125.0,,,,
374,,,,,,,,36.0
375,,,,,,,,
376,,107.0,,,,,3,
377,,,,,,82,,
378,4.0,,,,,,,
379,,,,,,,3,32.0
380,,,,,,82,,38.0
381,,,,,16.4,,,
382,,,,,,,1,
383,,,,,,,,
384,,,,,,,,
385,,,,,,,,32.0
386,,,,,,,,
387,,151.0,,,,82,,
388,4.0,,86.0,,,,,
389,,,,,24.6,,,
390,,135.0,,,,,,
391,,,,,,,,
392,,,,,,,,
