ID,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,mpg
101,6.0,198.0,,,,,1,23.0
102,,97.0,46.0,1950.0,,,2,26.0
103,8.0,,,,,,,11.0
104,,400.0,,,,,,12.0
105,8.0,,,,13.0,,,13.0
106,8.0,,,,12.5,,,
107,6.0,,100.0,,15.0,73,1,18.0
108,4.0,97.0,88.0,2279.0,,73,,20.0
109,4.0,140.0,72.0,2401.0,,73,,
110,,108.0,94.0,,,73,,22.0
111,,,90.0,2124.0,13.5,,,
112,4.0,,85.0,2310.0,,,,19.0
113,6.0,155.0,,2472.0,14.0,,,
114,4.0,98.0,90.0,2265.0,,,,
115,,,,,13.0,,,15.0
116,,,,4278.0,,,,16.0
117,4.0,68.0,,,,,2,
118,4.0,116.0,75.0,2158.0,,,2,
119,,,91.0,2582.0,14.0,,2,
120,4.0,121.0,112.0,,,,2,
121,,,,,11.0,,1,15.0
122,4.0,121.0,,2660.0,,73,2,24.0
123,6.0,156.0,,,13.5,,,20.0
124,,,,,11.0,,,11.0
125,,198.0,,3102.0,16.5,,,20.0
126,,,100.0,,,,,19.0
127,,,,,,,,15.0
128,4.0,79.0,67.0,1950.0,,,,
129,4.0,122.0,80.0,2451.0,16.5,74,1,26.0
130,4.0,,,1836.0,,,,
131,4.0,140.0,75.0,2542.0,,,,25.0
132,6.0,,100.0,,,,,
133,,,,,18.0,74,,16.0
134,,,105.0,3613.0,16.5,,,
135,,,,,14.0,74,,16.0
136,,,,,14.5,,,13.0
137,,,,,13.5,,1,14.0
138,8.0,302.0,,,16.0,74,,14.0
139,8.0,,,,15.5,74,,14.0
140,4.0,,83.0,,16.5,74,2,29.0
141,,79.0,67.0,1963.0,15.5,74,,
142,,97.0,78.0,2300.0,14.5,74,,26.0
143,4.0,76.0,52.0,1649.0,16.5,,,
144,4.0,83.0,61.0,2003.0,,,,
145,4.0,90.0,,2125.0,14.5,,,
146,4.0,90.0,75.0,2108.0,,,,
147,4.0,,,2246.0,14.0,,2,
148,4.0,120.0,,2489.0,15.0,,,24.0
149,4.0,108.0,,2391.0,,74,,26.0
150,4.0,79.0,,2000.0,,,2,
151,,225.0,95.0,3264.0,,75,,19.0
152,6.0,,105.0,,,,,
153,,,,3432.0,,75,1,15.0
154,,,72.0,,,75,,15.0
155,,,,,11.5,75,1,
156,,,,,14.0,75,,
157,,,,,,,1,
158,8.0,351.0,,,13.5,,1,14.0
159,,,,3907.0,,,,17.0
160,6.0,250.0,105.0,,,,,16.0
161,6.0,,110.0,,,75,,15.0
162,6.0,225.0,,,,,,18.0
163,6.0,,,,,75,1,21.0
164,,,,,13.5,,,20.0
165,,302.0,,,12.0,75,,13.0
166,4.0,97.0,75.0,,16.0,75,,
167,4.0,140.0,,2639.0,17.0,75,,
168,6.0,232.0,100.0,2914.0,,75,,20.0
169,4.0,,78.0,2592.0,18.5,75,1,
170,4.0,134.0,96.0,,13.5,75,,
171,4.0,90.0,,2223.0,,75,2,25.0
172,4.0,,97.0,,,,,24.0
173,6.0,,97.0,,14.5,75,1,
174,4.0,90.0,70.0,1937.0,14.0,75,2,
175,6.0,232.0,,3211.0,17.0,75,,19.0
176,4.0,,95.0,,15.0,75,2,23.0
177,4.0,120.0,88.0,,,,2,23.0
178,,121.0,,2945.0,,75,2,22.0
179,4.0,,115.0,2671.0,,75,2,25.0
180,,91.0,53.0,1795.0,,75,,
181,4.0,107.0,86.0,2464.0,15.5,76,2,
182,,,81.0,2220.0,16.9,,,25.0
183,4.0,140.0,92.0,,14.9,76,,
184,4.0,98.0,,,,76,,
185,,101.0,83.0,2202.0,,,2,27.0
186,8.0,,,,13.0,76,,
187,8.0,,,,13.0,76,,16.0
188,8.0,,,3962.0,13.9,76,,15.5
189,,,152.0,,12.8,,,14.5
190,6.0,225.0,100.0,,,76,1,22.0
191,,,105.0,3353.0,14.5,76,,22.0
192,6.0,200.0,81.0,3012.0,,,1,24.0
193,,232.0,,,,76,,22.5
194,4.0,,52.0,2035.0,,76,,29.0
195,4.0,,60.0,2164.0,,,,
196,4.0,90.0,70.0,1937.0,,76,,29.0
197,,91.0,53.0,1795.0,,76,3,
198,,,,,,76,1,20.0
199,6.0,250.0,78.0,,,76,,
200,,250.0,,3645.0,16.2,76,1,18.5
201,6.0,,,3193.0,17.8,76,,
202,4.0,97.0,71.0,1825.0,12.2,76,2,
203,4.0,,70.0,,,76,,
204,4.0,97.0,75.0,2155.0,,76,,
205,4.0,,72.0,2565.0,13.6,76,1,
206,4.0,,,,,76,2,20.0
207,,,,,13.2,,1,13.0
208,4.0,,88.0,,,76,2,19.0
209,,156.0,,,15.5,76,,19.0
210,6.0,,,,16.7,76,2,
211,8.0,,,,12.1,76,,16.5
212,,350.0,,,12.0,76,,13.0
213,,302.0,,,,,1,13.0
214,,,,,,76,,13.0
215,4.0,98.0,,2045.0,,77,3,
216,4.0,111.0,,,14.8,77,,
217,4.0,,,1825.0,,77,2,
218,,122.0,,2300.0,,77,1,25.5
219,4.0,,70.0,,16.8,,3,
220,8.0,305.0,,,12.5,,1,17.5
221,,260.0,,4060.0,,,1,17.0
222,8.0,,,,13.7,,,
223,,,130.0,,14.9,77,,
224,6.0,250.0,,,16.4,,,
225,6.0,,105.0,3425.0,,77,,20.5
226,,,,,,77,,19.0
227,,250.0,,3525.0,,77,,18.5
228,,400.0,,,11.1,,,16.0
229,8.0,,,,11.4,77,,15.5
230,,,,,12.2,77,,15.5
231,8.0,,,4335.0,14.5,77,,16.0
232,4.0,97.0,78.0,1940.0,,77,2,29.0
233,4.0,151.0,,2740.0,16.0,77,,
234,4.0,97.0,75.0,2265.0,,77,,
235,,140.0,,2755.0,15.8,,,
236,4.0,98.0,63.0,,,77,1,30.5
237,4.0,98.0,,2075.0,,,,
238,4.0,97.0,67.0,1985.0,,77,,
239,4.0,97.0,,2190.0,14.1,77,2,
240,6.0,146.0,,,14.5,77,,
241,4.0,121.0,,,12.8,77,2,21.5
242,,,110.0,2720.0,13.5,77,,
243,4.0,,48.0,1985.0,21.5,78,2,
244,,98.0,66.0,,14.4,,,
245,4.0,78.0,52.0,1985.0,,,3,
246,4.0,85.0,70.0,2070.0,,,,
247,4.0,91.0,60.0,1800.0,,,3,
248,,260.0,,3365.0,,,1,
249,8.0,,,,13.2,78,,19.4
250,,,,,12.8,,,20.2
251,,231.0,,,,,,19.2
252,,200.0,,3155.0,,,1,
253,6.0,,85.0,,,,,20.2
254,4.0,140.0,88.0,,,,,
255,6.0,225.0,,,17.2,,,20.5
256,6.0,232.0,90.0,3210.0,,78,1,19.4
257,,,,,,,1,
258,,200.0,,3070.0,16.7,78,,20.8
259,6.0,,110.0,3620.0,,,,
260,,,120.0,,,,1,18.1
261,8.0,,,,13.2,,,
262,,,,3445.0,13.4,,,17.7
263,8.0,,,3205.0,11.2,78,1,
264,,,,4080.0,13.7,,1,17.5
265,4.0,,68.0,2155.0,16.5,,,
266,4.0,,95.0,,14.2,78,3,
267,4.0,119.0,,2300.0,14.7,,,
268,4.0,105.0,75.0,2230.0,,78,,
269,4.0,134.0,95.0,2515.0,,78,,21.1
270,4.0,156.0,105.0,2745.0,,78,1,
271,4.0,151.0,85.0,2855.0,,78,,
272,,,97.0,,14.9,,3,23.9
273,,131.0,,2830.0,,,,20.3
274,,,125.0,3140.0,13.6,,2,17.0
275,,121.0,,2795.0,,,2,21.6
276,6.0,163.0,,,,,,
277,4.0,89.0,,1990.0,14.9,,,
278,4.0,,68.0,2135.0,,,,
279,,,115.0,,15.4,79,,
280,6.0,,,2990.0,,,,19.8
281,4.0,,88.0,,,79,,
282,6.0,232.0,90.0,,,,1,20.2
283,6.0,,,3360.0,16.6,,,20.6
284,,,,,15.4,79,,17.0
285,,,,,13.4,79,1,
286,,,,,13.2,79,,16.5
287,8.0,,135.0,,15.2,,,
288,8.0,,,,,,,16.9
289,8.0,,,,14.3,79,,
290,,,125.0,,15.0,,1,19.2
291,8.0,,,,13.0,,,
292,4.0,89.0,71.0,1925.0,14.0,,2,
293,,86.0,65.0,1975.0,,,,
294,4.0,98.0,80.0,1915.0,14.4,79,,
295,,121.0,80.0,2670.0,,,,27.4
296,,,,,,,2,
297,8.0,,125.0,,,79,,
298,,141.0,71.0,,,,2,
299,8.0,260.0,90.0,,,,,23.9
300,4.0,105.0,70.0,2200.0,13.2,,,
301,4.0,105.0,70.0,2150.0,14.9,,,
302,4.0,85.0,65.0,2020.0,,,,
303,,,,2130.0,14.7,79,2,
304,4.0,,90.0,,,,,28.4
305,6.0,,115.0,2595.0,11.3,79,,
306,,173.0,115.0,2700.0,12.9,,,26.8
307,4.0,151.0,90.0,,,,,
308,4.0,98.0,,2144.0,14.7,80,,
309,4.0,89.0,60.0,1968.0,,,,
310,4.0,98.0,,2120.0,,,,
311,4.0,86.0,,,16.4,,3,
312,4.0,151.0,,2678.0,,,1,28.0
313,4.0,,,2870.0,,,1,26.4
314,,151.0,90.0,,,,1,
315,6.0,225.0,90.0,3381.0,,,,
316,4.0,97.0,78.0,,,,,
317,,,90.0,,15.5,,3,
318,4.0,120.0,75.0,2542.0,,,,31.3
319,4.0,119.0,92.0,,15.0,,,37.0
320,4.0,,75.0,,15.2,80,,
321,4.0,86.0,65.0,2110.0,,,,
322,4.0,,,2800.0,14.4,,1,
323,4.0,85.0,,2110.0,,,,
324,4.0,90.0,48.0,2085.0,,,,
325,4.0,90.0,48.0,2335.0,,,,
326,5.0,,67.0,,,80,,
327,4.0,146.0,,,,80,2,
328,4.0,91.0,67.0,,13.8,80,,
329,4.0,97.0,67.0,2145.0,,,,33.8
330,4.0,89.0,62.0,1845.0,15.3,,2,29.8
331,6.0,168.0,,,11.4,80,,
332,,70.0,100.0,,12.5,,,23.7
333,,122.0,,2500.0,15.1,,2,35.0
334,4.0,107.0,72.0,2290.0,,,3,
335,,,,2490.0,15.7,,,
336,4.0,,84.0,2635.0,16.4,,,
337,4.0,156.0,,2620.0,14.4,,,
338,6.0,173.0,110.0,,,,,
339,4.0,,84.0,,12.9,,,
340,4.0,79.0,58.0,1755.0,,,3,
341,4.0,86.0,64.0,1875.0,16.4,,,
342,4.0,81.0,,,,,3,
343,4.0,97.0,67.0,2065.0,,81,,
344,4.0,85.0,65.0,1975.0,,,3,
345,4.0,89.0,62.0,2050.0,,,,
346,4.0,91.0,,1985.0,,,3,
347,4.0,105.0,63.0,,14.9,81,1,
348,,98.0,65.0,2045.0,16.2,,,
349,,98.0,,,,,1,
350,4.0,,74.0,2190.0,,81,2,
351,4.0,107.0,75.0,2210.0,14.4,81,,
352,4.0,,,,16.8,,,
353,,,,,14.8,,,
354,4.0,120.0,74.0,,,,,
355,4.0,,,3230.0,,,2,
356,,,,3160.0,,81,2,30.7
357,6.0,,,2900.0,12.6,81,,
358,6.0,146.0,120.0,,13.8,81,3,
359,,,110.0,,15.8,,,22.4
360,,,,3725.0,,,1,
361,6.0,,88.0,3060.0,,,,20.2
362,6.0,,,,16.6,81,1,17.6
363,4.0,112.0,,,,82,,
364,4.0,112.0,88.0,,,,,27.0
365,4.0,,,,,,,
366,4.0,112.0,,2575.0,,82,1,
367,4.0,135.0,84.0,2525.0,16.0,,1,29.0
368,,,90.0,2735.0,,,,
369,,,,2865.0,,82,,
370,,105.0,74.0,,,82,2,
371,4.0,91.0,68.0,2025.0,,82,3,
372,4.0,91.0,68.0,1970.0,,82,,
373,4.0,105.0,63.0,2125.0,14.7,82,,
374,4.0,,70.0,,,82,,
375,4.0,120.0,,2160.0,14.5,,,
376,4.0,107.0,75.0,,14.5,82,,36.0
377,4.0,,70.0,2245.0,,,3,
378,4.0,91.0,,1965.0,15.0,82,,
379,4.0,91.0,67.0,1965.0,15.7,,3,32.0
380,4.0,91.0,67.0,,16.2,82,3,38.0
381,,,,,,82,1,25.0
382,,,,3015.0,,,1,
383,4.0,156.0,,2585.0,14.5,,,
384,,,,,,,,22.0
385,4.0,144.0,96.0,,,82,,
386,4.0,135.0,,2370.0,13.0,82,1,
387,4.0,151.0,90.0,,,82,,
388,4.0,140.0,,2790.0,,82,1,
389,4.0,,52.0,2130.0,,,,
390,4.0,135.0,84.0,2295.0,,,,
391,4.0,120.0,79.0,2625.0,,82,,
392,4.0,119.0,,2720.0,,,1,
