exp_id,dataset,mechanism,miss_rate,variant,seed,input_complete,input_missing,categorical_vars,continuous_vars,alpha0,gamma,max_iters,tol,use_stat_refine,mask_fraction,hidden_dims,emb_dim,num_heads,lr,epochs,batch_size,use_gpu
AutoMPG_MAR_30per_SNI_s3,AutoMPG,MAR,0.3,SNI,3,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_30per_SNI_s5,AutoMPG,MAR,0.3,SNI,5,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_30per_SNI_s8,AutoMPG,MAR,0.3,SNI,8,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_30per_NoPrior_s1,AutoMPG,MAR,0.3,NoPrior,1,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_30per_NoPrior_s2,AutoMPG,MAR,0.3,NoPrior,2,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_30per_NoPrior_s3,AutoMPG,MAR,0.3,NoPrior,3,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_30per_NoPrior_s5,AutoMPG,MAR,0.3,NoPrior,5,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_30per_NoPrior_s8,AutoMPG,MAR,0.3,NoPrior,8,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_30per_HardPrior_s1,AutoMPG,MAR,0.3,HardPrior,1,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_30per_HardPrior_s2,AutoMPG,MAR,0.3,HardPrior,2,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_30per_HardPrior_s3,AutoMPG,MAR,0.3,HardPrior,3,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_30per_HardPrior_s5,AutoMPG,MAR,0.3,HardPrior,5,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_30per_HardPrior_s8,AutoMPG,MAR,0.3,HardPrior,8,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_50per_SNI_s1,AutoMPG,MAR,0.5,SNI,1,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_50per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_50per_SNI_s2,AutoMPG,MAR,0.5,SNI,2,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_50per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_50per_SNI_s3,AutoMPG,MAR,0.5,SNI,3,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_50per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_50per_SNI_s5,AutoMPG,MAR,0.5,SNI,5,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_50per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_50per_SNI_s8,AutoMPG,MAR,0.5,SNI,8,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_50per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_10per_SNI_s1,AutoMPG,MNAR,0.1,SNI,1,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_10per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_10per_SNI_s2,AutoMPG,MNAR,0.1,SNI,2,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_10per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_10per_SNI_s3,AutoMPG,MNAR,0.1,SNI,3,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_10per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_10per_SNI_s5,AutoMPG,MNAR,0.1,SNI,5,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_10per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_10per_SNI_s8,AutoMPG,MNAR,0.1,SNI,8,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_10per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_10per_SNI-M_s1,AutoMPG,MNAR,0.1,SNI-M,1,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_10per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_10per_SNI-M_s2,AutoMPG,MNAR,0.1,SNI-M,2,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_10per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_10per_SNI-M_s3,AutoMPG,MNAR,0.1,SNI-M,3,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_10per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_10per_SNI-M_s5,AutoMPG,MNAR,0.1,SNI-M,5,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_10per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_10per_SNI-M_s8,AutoMPG,MNAR,0.1,SNI-M,8,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_10per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_30per_SNI_s1,AutoMPG,MNAR,0.3,SNI,1,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_30per_SNI_s2,AutoMPG,MNAR,0.3,SNI,2,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_30per_SNI_s3,AutoMPG,MNAR,0.3,SNI,3,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_30per_SNI_s5,AutoMPG,MNAR,0.3,SNI,5,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_30per_SNI_s8,AutoMPG,MNAR,0.3,SNI,8,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_30per_SNI-M_s1,AutoMPG,MNAR,0.3,SNI-M,1,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_30per_SNI-M_s2,AutoMPG,MNAR,0.3,SNI-M,2,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_30per_SNI-M_s3,AutoMPG,MNAR,0.3,SNI-M,3,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_30per_SNI-M_s5,AutoMPG,MNAR,0.3,SNI-M,5,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_30per_SNI-M_s8,AutoMPG,MNAR,0.3,SNI-M,8,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_50per_SNI_s1,AutoMPG,MNAR,0.5,SNI,1,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_50per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_50per_SNI_s2,AutoMPG,MNAR,0.5,SNI,2,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_50per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_50per_SNI_s3,AutoMPG,MNAR,0.5,SNI,3,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_50per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_50per_SNI_s5,AutoMPG,MNAR,0.5,SNI,5,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_50per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_50per_SNI_s8,AutoMPG,MNAR,0.5,SNI,8,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_50per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_50per_SNI-M_s1,AutoMPG,MNAR,0.5,SNI-M,1,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_50per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_50per_SNI-M_s2,AutoMPG,MNAR,0.5,SNI-M,2,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_50per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_50per_SNI-M_s3,AutoMPG,MNAR,0.5,SNI-M,3,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_50per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_50per_SNI-M_s5,AutoMPG,MNAR,0.5,SNI-M,5,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_50per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MNAR_50per_SNI-M_s8,AutoMPG,MNAR,0.5,SNI-M,8,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MNAR_50per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
ComCri_MCAR_10per_SNI_s1,ComCri,MCAR,0.1,SNI,1,data/ComCri_complete.csv,data/ComCri/ComCri_MCAR_10per.csv,"IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode","medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
ComCri_MCAR_10per_SNI_s2,ComCri,MCAR,0.1,SNI,2,data/ComCri_complete.csv,data/ComCri/ComCri_MCAR_10per.csv,"IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode","medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
ComCri_MCAR_10per_SNI_s3,ComCri,MCAR,0.1,SNI,3,data/ComCri_complete.csv,data/ComCri/ComCri_MCAR_10per.csv,"IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode","medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
ComCri_MCAR_10per_SNI_s5,ComCri,MCAR,0.1,SNI,5,data/ComCri_complete.csv,data/ComCri/ComCri_MCAR_10per.csv,"IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode","medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
ComCri_MCAR_10per_SNI_s8,ComCri,MCAR,0.1,SNI,8,data/ComCri_complete.csv,data/ComCri/ComCri_MCAR_10per.csv,"IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode","medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
ComCri_MCAR_30per_SNI_s1,ComCri,MCAR,0.3,SNI,1,data/ComCri_complete.csv,data/ComCri/ComCri_MCAR_30per.csv,"IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode","medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
ComCri_MCAR_30per_SNI_s2,ComCri,MCAR,0.3,SNI,2,data/ComCri_complete.csv,data/ComCri/ComCri_MCAR_30per.csv,"IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode","medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
ComCri_MCAR_30per_SNI_s3,ComCri,MCAR,0.3,SNI,3,data/ComCri_complete.csv,data/ComCri/ComCri_MCAR_30per.csv,"IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode","medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
ComCri_MCAR_30per_SNI_s5,ComCri,MCAR,0.3,SNI,5,data/ComCri_complete.csv,data/ComCri/ComCri_MCAR_30per.csv,"IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode","medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
ComCri_MCAR_30per_SNI_s8,ComCri,MCAR,0.3,SNI,8,data/ComCri_complete.csv,data/ComCri/ComCri_MCAR_30per.csv,"IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode","medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
ComCri_MCAR_50per_SNI_s1,ComCri,MCAR,0.5,SNI,1,data/ComCri_complete.csv,data/ComCri/ComCri_MCAR_50per.csv,"IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode","medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
