ID,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,mpg
90,8,429.0,198.0,4952,11.5,73,1,12.0
91,8,400.0,150.0,4464,12.0,73,1,13.0
92,8,351.0,158.0,4363,13.0,73,1,13.0
93,8,318.0,150.0,4237,14.5,73,1,14.0
94,8,440.0,215.0,4735,11.0,73,1,13.0
95,8,455.0,225.0,4951,11.0,73,1,12.0
96,8,360.0,175.0,3821,11.0,73,1,13.0
97,6,225.0,105.0,3121,16.5,73,1,18.0
98,6,250.0,100.0,3278,18.0,73,1,16.0
99,6,232.0,100.0,2945,16.0,73,1,18.0
100,6,250.0,88.0,3021,16.5,73,1,18.0
101,6,198.0,95.0,2904,16.0,73,1,23.0
102,4,97.0,46.0,1950,21.0,73,2,26.0
103,8,400.0,150.0,4997,14.0,73,1,11.0
104,8,400.0,167.0,4906,12.5,73,1,12.0
105,8,360.0,170.0,4654,13.0,73,1,13.0
106,8,350.0,180.0,4499,12.5,73,1,12.0
107,6,232.0,100.0,2789,15.0,73,1,18.0
108,4,97.0,88.0,2279,19.0,73,3,20.0
109,4,140.0,72.0,2401,19.5,73,1,21.0
110,4,108.0,94.0,2379,16.5,73,3,22.0
111,3,70.0,90.0,2124,13.5,73,3,18.0
112,4,122.0,85.0,2310,18.5,73,1,19.0
113,6,155.0,107.0,2472,14.0,73,1,21.0
114,4,98.0,90.0,2265,15.5,73,2,26.0
115,8,350.0,145.0,4082,13.0,73,1,15.0
116,8,400.0,230.0,4278,9.5,73,1,16.0
117,4,68.0,49.0,1867,19.5,73,2,29.0
118,4,116.0,75.0,2158,15.5,73,2,24.0
119,4,114.0,91.0,2582,14.0,73,2,20.0
120,4,121.0,112.0,2868,15.5,73,2,19.0
121,8,318.0,150.0,3399,11.0,73,1,15.0
122,4,121.0,110.0,2660,14.0,73,2,24.0
123,6,156.0,122.0,2807,13.5,73,3,20.0
124,8,350.0,180.0,3664,11.0,73,1,11.0
125,6,198.0,95.0,3102,16.5,74,1,20.0
126,6,232.0,100.0,2901,16.0,74,1,19.0
127,6,250.0,100.0,3336,17.0,74,1,15.0
128,4,79.0,67.0,1950,19.0,74,3,31.0
129,4,122.0,80.0,2451,16.5,74,1,26.0
130,4,71.0,65.0,1836,21.0,74,3,32.0
131,4,140.0,75.0,2542,17.0,74,1,25.0
132,6,250.0,100.0,3781,17.0,74,1,16.0
133,6,258.0,110.0,3632,18.0,74,1,16.0
134,6,225.0,105.0,3613,16.5,74,1,18.0
135,8,302.0,140.0,4141,14.0,74,1,16.0
136,8,350.0,150.0,4699,14.5,74,1,13.0
137,8,318.0,150.0,4457,13.5,74,1,14.0
138,8,302.0,140.0,4638,16.0,74,1,14.0
139,8,304.0,150.0,4257,15.5,74,1,14.0
140,4,98.0,83.0,2219,16.5,74,2,29.0
141,4,79.0,67.0,1963,15.5,74,2,26.0
142,4,97.0,78.0,2300,14.5,74,2,26.0
143,4,76.0,52.0,1649,16.5,74,3,31.0
144,4,83.0,61.0,2003,19.0,74,3,32.0
145,4,90.0,75.0,2125,14.5,74,1,28.0
146,4,90.0,75.0,2108,15.5,74,2,24.0
147,4,116.0,75.0,2246,14.0,74,2,26.0
148,4,120.0,97.0,2489,15.0,74,3,24.0
149,4,108.0,93.0,2391,15.5,74,3,26.0
150,4,79.0,67.0,2000,16.0,74,2,31.0
151,6,225.0,95.0,3264,16.0,75,1,19.0
152,6,250.0,105.0,3459,16.0,75,1,18.0
153,6,250.0,72.0,3432,21.0,75,1,15.0
154,6,250.0,72.0,3158,19.5,75,1,15.0
155,8,400.0,170.0,4668,11.5,75,1,16.0
156,8,350.0,145.0,4440,14.0,75,1,15.0
157,8,318.0,150.0,4498,14.5,75,1,16.0
158,8,351.0,148.0,4657,13.5,75,1,14.0
159,6,231.0,110.0,3907,21.0,75,1,17.0
160,6,250.0,105.0,3897,18.5,75,1,16.0
161,6,258.0,110.0,3730,19.0,75,1,15.0
162,6,225.0,95.0,3785,19.0,75,1,18.0
163,6,231.0,110.0,3039,15.0,75,1,21.0
164,8,262.0,110.0,3221,13.5,75,1,20.0
165,8,302.0,129.0,3169,12.0,75,1,13.0
166,4,97.0,75.0,2171,16.0,75,3,29.0
167,4,140.0,83.0,2639,17.0,75,1,23.0
168,6,232.0,100.0,2914,16.0,75,1,20.0
169,4,140.0,78.0,2592,18.5,75,1,23.0
170,4,134.0,96.0,2702,13.5,75,3,24.0
171,4,90.0,71.0,2223,16.5,75,2,25.0
172,4,119.0,97.0,2545,17.0,75,3,24.0
173,6,171.0,97.0,2984,14.5,75,1,18.0
174,4,90.0,70.0,1937,14.0,75,2,29.0
175,6,232.0,90.0,3211,17.0,75,1,19.0
176,4,115.0,95.0,2694,15.0,75,2,23.0
177,4,120.0,88.0,2957,17.0,75,2,23.0
178,4,121.0,98.0,2945,14.5,75,2,22.0
179,4,121.0,115.0,2671,13.5,75,2,25.0
180,4,91.0,53.0,1795,17.5,75,3,33.0
181,4,107.0,86.0,2464,15.5,76,2,28.0
182,4,116.0,81.0,2220,16.9,76,2,25.0
183,4,140.0,92.0,2572,14.9,76,1,25.0
184,4,98.0,79.0,2255,17.7,76,1,26.0
185,4,101.0,83.0,2202,15.3,76,2,27.0
186,8,305.0,140.0,4215,13.0,76,1,17.5
187,8,318.0,150.0,4190,13.0,76,1,16.0
188,8,304.0,120.0,3962,13.9,76,1,15.5
189,8,351.0,152.0,4215,12.8,76,1,14.5
190,6,225.0,100.0,3233,15.4,76,1,22.0
191,6,250.0,105.0,3353,14.5,76,1,22.0
192,6,200.0,81.0,3012,17.6,76,1,24.0
193,6,232.0,90.0,3085,17.6,76,1,22.5
194,4,85.0,52.0,2035,22.2,76,1,29.0
195,4,98.0,60.0,2164,22.1,76,1,24.5
196,4,90.0,70.0,1937,14.2,76,2,29.0
197,4,91.0,53.0,1795,17.4,76,3,33.0
198,6,225.0,100.0,3651,17.7,76,1,20.0
199,6,250.0,78.0,3574,21.0,76,1,18.0
200,6,250.0,110.0,3645,16.2,76,1,18.5
201,6,258.0,95.0,3193,17.8,76,1,17.5
202,4,97.0,71.0,1825,12.2,76,2,29.5
203,4,85.0,70.0,1990,17.0,76,3,32.0
204,4,97.0,75.0,2155,16.4,76,3,28.0
205,4,140.0,72.0,2565,13.6,76,1,26.5
206,4,130.0,102.0,3150,15.7,76,2,20.0
207,8,318.0,150.0,3940,13.2,76,1,13.0
208,4,120.0,88.0,3270,21.9,76,2,19.0
209,6,156.0,108.0,2930,15.5,76,3,19.0
210,6,168.0,120.0,3820,16.7,76,2,16.5
211,8,350.0,180.0,4380,12.1,76,1,16.5
212,8,350.0,145.0,4055,12.0,76,1,13.0
213,8,302.0,130.0,3870,15.0,76,1,13.0
214,8,318.0,150.0,3755,14.0,76,1,13.0
215,4,98.0,68.0,2045,18.5,77,3,31.5
216,4,111.0,80.0,2155,14.8,77,1,30.0
217,4,79.0,58.0,1825,18.6,77,2,36.0
218,4,122.0,96.0,2300,15.5,77,1,25.5
219,4,85.0,70.0,1945,16.8,77,3,33.5
220,8,305.0,145.0,3880,12.5,77,1,17.5
221,8,260.0,110.0,4060,19.0,77,1,17.0
222,8,318.0,145.0,4140,13.7,77,1,15.5
223,8,302.0,130.0,4295,14.9,77,1,15.0
224,6,250.0,110.0,3520,16.4,77,1,17.5
225,6,231.0,105.0,3425,16.9,77,1,20.5
226,6,225.0,100.0,3630,17.7,77,1,19.0
227,6,250.0,98.0,3525,19.0,77,1,18.5
228,8,400.0,180.0,4220,11.1,77,1,16.0
229,8,350.0,170.0,4165,11.4,77,1,15.5
230,8,400.0,190.0,4325,12.2,77,1,15.5
231,8,351.0,149.0,4335,14.5,77,1,16.0
232,4,97.0,78.0,1940,14.5,77,2,29.0
233,4,151.0,88.0,2740,16.0,77,1,24.5
234,4,97.0,75.0,2265,18.2,77,3,26.0
235,4,140.0,89.0,2755,15.8,77,1,25.5
236,4,98.0,63.0,2051,17.0,77,1,30.5
237,4,98.0,83.0,2075,15.9,77,1,33.5
238,4,97.0,67.0,1985,16.4,77,3,30.0
239,4,97.0,78.0,2190,14.1,77,2,30.5
240,6,146.0,97.0,2815,14.5,77,3,22.0
241,4,121.0,110.0,2600,12.8,77,2,21.5
242,3,80.0,110.0,2720,13.5,77,3,21.5
243,4,90.0,48.0,1985,21.5,78,2,43.1
244,4,98.0,66.0,1800,14.4,78,1,36.1
245,4,78.0,52.0,1985,19.4,78,3,32.8
246,4,85.0,70.0,2070,18.6,78,3,39.4
247,4,91.0,60.0,1800,16.4,78,3,36.1
248,8,260.0,110.0,3365,15.5,78,1,19.9
249,8,318.0,140.0,3735,13.2,78,1,19.4
250,8,302.0,139.0,3570,12.8,78,1,20.2
251,6,231.0,105.0,3535,19.2,78,1,19.2
252,6,200.0,95.0,3155,18.2,78,1,20.5
253,6,200.0,85.0,2965,15.8,78,1,20.2
254,4,140.0,88.0,2720,15.4,78,1,25.1
255,6,225.0,100.0,3430,17.2,78,1,20.5
256,6,232.0,90.0,3210,17.2,78,1,19.4
257,6,231.0,105.0,3380,15.8,78,1,20.6
258,6,200.0,85.0,3070,16.7,78,1,20.8
259,6,225.0,110.0,3620,18.7,78,1,18.6
260,6,258.0,120.0,3410,15.1,78,1,18.1
261,8,305.0,145.0,3425,13.2,78,1,19.2
262,6,231.0,165.0,3445,13.4,78,1,17.7
263,8,302.0,139.0,3205,11.2,78,1,18.1
264,8,318.0,140.0,4080,13.7,78,1,17.5
265,4,98.0,68.0,2155,16.5,78,1,30.0
266,4,134.0,95.0,2560,14.2,78,3,27.5
267,4,119.0,97.0,2300,14.7,78,3,27.2
268,4,105.0,75.0,2230,14.5,78,1,30.9
269,4,134.0,95.0,2515,14.8,78,3,21.1
270,4,156.0,105.0,2745,16.7,78,1,23.2
271,4,151.0,85.0,2855,17.6,78,1,23.8
272,4,119.0,97.0,2405,14.9,78,3,23.9
273,5,131.0,103.0,2830,15.9,78,2,20.3
274,6,163.0,125.0,3140,13.6,78,2,17.0
275,4,121.0,115.0,2795,15.7,78,2,21.6
276,6,163.0,133.0,3410,15.8,78,2,16.2
277,4,89.0,71.0,1990,14.9,78,2,31.5
278,4,98.0,68.0,2135,16.6,78,3,29.5
279,6,231.0,115.0,3245,15.4,79,1,21.5
280,6,200.0,85.0,2990,18.2,79,1,19.8
281,4,140.0,88.0,2890,17.3,79,1,22.3
282,6,232.0,90.0,3265,18.2,79,1,20.2
283,6,225.0,110.0,3360,16.6,79,1,20.6
284,8,305.0,130.0,3840,15.4,79,1,17.0
285,8,302.0,129.0,3725,13.4,79,1,17.6
286,8,351.0,138.0,3955,13.2,79,1,16.5
287,8,318.0,135.0,3830,15.2,79,1,18.2
288,8,350.0,155.0,4360,14.9,79,1,16.9
289,8,351.0,142.0,4054,14.3,79,1,15.5
290,8,267.0,125.0,3605,15.0,79,1,19.2
291,8,360.0,150.0,3940,13.0,79,1,18.5
292,4,89.0,71.0,1925,14.0,79,2,31.9
293,4,86.0,65.0,1975,15.2,79,3,34.1
294,4,98.0,80.0,1915,14.4,79,1,35.7
295,4,121.0,80.0,2670,15.0,79,1,27.4
296,5,183.0,77.0,3530,20.1,79,2,25.4
297,8,350.0,125.0,3900,17.4,79,1,23.0
298,4,141.0,71.0,3190,24.8,79,2,27.2
299,8,260.0,90.0,3420,22.2,79,1,23.9
300,4,105.0,70.0,2200,13.2,79,1,34.2
301,4,105.0,70.0,2150,14.9,79,1,34.5
302,4,85.0,65.0,2020,19.2,79,3,31.8
303,4,91.0,69.0,2130,14.7,79,2,37.3
304,4,151.0,90.0,2670,16.0,79,1,28.4
305,6,173.0,115.0,2595,11.3,79,1,28.8
306,6,173.0,115.0,2700,12.9,79,1,26.8
307,4,151.0,90.0,2556,13.2,79,1,33.5
308,4,98.0,76.0,2144,14.7,80,2,41.5
309,4,89.0,60.0,1968,18.8,80,3,38.1
310,4,98.0,70.0,2120,15.5,80,1,32.1
311,4,86.0,65.0,2019,16.4,80,3,37.2
312,4,151.0,90.0,2678,16.5,80,1,28.0
313,4,140.0,88.0,2870,18.1,80,1,26.4
314,4,151.0,90.0,3003,20.1,80,1,24.3
315,6,225.0,90.0,3381,18.7,80,1,19.1
316,4,97.0,78.0,2188,15.8,80,2,34.3
317,4,134.0,90.0,2711,15.5,80,3,29.8
318,4,120.0,75.0,2542,17.5,80,3,31.3
319,4,119.0,92.0,2434,15.0,80,3,37.0
320,4,108.0,75.0,2265,15.2,80,3,32.2
321,4,86.0,65.0,2110,17.9,80,3,46.6
322,4,156.0,105.0,2800,14.4,80,1,27.9
323,4,85.0,65.0,2110,19.2,80,3,40.8
324,4,90.0,48.0,2085,21.7,80,2,44.3
325,4,90.0,48.0,2335,23.7,80,2,43.4
326,5,121.0,67.0,2950,19.9,80,2,36.4
327,4,146.0,67.0,3250,21.8,80,2,30.0
328,4,91.0,67.0,1850,13.8,80,3,44.6
329,4,97.0,67.0,2145,18.0,80,3,33.8
330,4,89.0,62.0,1845,15.3,80,2,29.8
331,6,168.0,132.0,2910,11.4,80,3,32.7
332,3,70.0,100.0,2420,12.5,80,3,23.7
333,4,122.0,88.0,2500,15.1,80,2,35.0
334,4,107.0,72.0,2290,17.0,80,3,32.4
335,4,135.0,84.0,2490,15.7,81,1,27.2
336,4,151.0,84.0,2635,16.4,81,1,26.6
337,4,156.0,92.0,2620,14.4,81,1,25.8
338,6,173.0,110.0,2725,12.6,81,1,23.5
339,4,135.0,84.0,2385,12.9,81,1,30.0
340,4,79.0,58.0,1755,16.9,81,3,39.1
341,4,86.0,64.0,1875,16.4,81,1,39.0
342,4,81.0,60.0,1760,16.1,81,3,35.1
343,4,97.0,67.0,2065,17.8,81,3,32.3
344,4,85.0,65.0,1975,19.4,81,3,37.0
345,4,89.0,62.0,2050,17.3,81,3,37.7
346,4,91.0,68.0,1985,16.0,81,3,34.1
347,4,105.0,63.0,2215,14.9,81,1,34.7
348,4,98.0,65.0,2045,16.2,81,1,34.4
349,4,98.0,65.0,2380,20.7,81,1,29.9
350,4,105.0,74.0,2190,14.2,81,2,33.0
351,4,107.0,75.0,2210,14.4,81,3,33.7
352,4,108.0,75.0,2350,16.8,81,3,32.4
353,4,119.0,100.0,2615,14.8,81,3,32.9
354,4,120.0,74.0,2635,18.3,81,3,31.6
355,4,141.0,80.0,3230,20.4,81,2,28.1
356,6,145.0,76.0,3160,19.6,81,2,30.7
357,6,168.0,116.0,2900,12.6,81,3,25.4
358,6,146.0,120.0,2930,13.8,81,3,24.2
359,6,231.0,110.0,3415,15.8,81,1,22.4
360,8,350.0,105.0,3725,19.0,81,1,26.6
361,6,200.0,88.0,3060,17.1,81,1,20.2
362,6,225.0,85.0,3465,16.6,81,1,17.6
363,4,112.0,88.0,2605,19.6,82,1,28.0
364,4,112.0,88.0,2640,18.6,82,1,27.0
365,4,112.0,88.0,2395,18.0,82,1,34.0
366,4,112.0,85.0,2575,16.2,82,1,31.0
367,4,135.0,84.0,2525,16.0,82,1,29.0
368,4,151.0,90.0,2735,18.0,82,1,27.0
369,4,140.0,92.0,2865,16.4,82,1,24.0
370,4,105.0,74.0,1980,15.3,82,2,36.0
371,4,91.0,68.0,2025,18.2,82,3,37.0
372,4,91.0,68.0,1970,17.6,82,3,31.0
373,4,105.0,63.0,2125,14.7,82,1,38.0
374,4,98.0,70.0,2125,17.3,82,1,36.0
375,4,120.0,88.0,2160,14.5,82,3,36.0
376,4,107.0,75.0,2205,14.5,82,3,36.0
377,4,108.0,70.0,2245,16.9,82,3,34.0
378,4,91.0,67.0,1965,15.0,82,3,38.0
379,4,91.0,67.0,1965,15.7,82,3,32.0
380,4,91.0,67.0,1995,16.2,82,3,38.0
381,6,181.0,110.0,2945,16.4,82,1,25.0
382,6,262.0,85.0,3015,17.0,82,1,38.0
383,4,156.0,92.0,2585,14.5,82,1,26.0
384,6,232.0,112.0,2835,14.7,82,1,22.0
385,4,144.0,96.0,2665,13.9,82,3,32.0
386,4,135.0,84.0,2370,13.0,82,1,36.0
387,4,151.0,90.0,2950,17.3,82,1,27.0
388,4,140.0,86.0,2790,15.6,82,1,27.0
389,4,97.0,52.0,2130,24.6,82,2,44.0
390,4,135.0,84.0,2295,11.6,82,1,32.0
391,4,120.0,79.0,2625,18.6,82,1,28.0
392,4,119.0,82.0,2720,19.4,82,1,31.0
