exp_id,input_complete,input_missing,variant,seed,categorical_vars,continuous_vars,hard_prior_lambda,alpha0,gamma,max_iters,tol,use_stat_refine,mask_fraction,hidden_dims,emb_dim,num_heads,lr,epochs,batch_size,use_gpu,cat_balance_mode,cat_lr_mult,lambda_mode,lambda_fixed_value
V03_MAIN_ComCri_MCAR_30per_SNI_s5,data/ComCri_complete.csv,data/ComCri/ComCri_MCAR_30per.csv,SNI,5,"IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode","medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_ComCri_MCAR_30per_SNI_s8,data/ComCri_complete.csv,data/ComCri/ComCri_MCAR_30per.csv,SNI,8,"IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode","medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_ComCri_MAR_30per_SNI_s1,data/ComCri_complete.csv,data/ComCri/ComCri_MAR_30per.csv,SNI,1,"IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode","medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_ComCri_MAR_30per_SNI_s2,data/ComCri_complete.csv,data/ComCri/ComCri_MAR_30per.csv,SNI,2,"IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode","medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_ComCri_MAR_30per_SNI_s3,data/ComCri_complete.csv,data/ComCri/ComCri_MAR_30per.csv,SNI,3,"IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode","medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_ComCri_MAR_30per_SNI_s5,data/ComCri_complete.csv,data/ComCri/ComCri_MAR_30per.csv,SNI,5,"IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode","medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_ComCri_MAR_30per_SNI_s8,data/ComCri_complete.csv,data/ComCri/ComCri_MAR_30per.csv,SNI,8,"IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode","medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_Concrete_MCAR_30per_SNI_s1,data/Concrete_complete.csv,data/Concrete/Concrete_MCAR_30per.csv,SNI,1,,"Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Duration,ConcreteCS ",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_Concrete_MCAR_30per_SNI_s2,data/Concrete_complete.csv,data/Concrete/Concrete_MCAR_30per.csv,SNI,2,,"Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Duration,ConcreteCS ",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_Concrete_MCAR_30per_SNI_s3,data/Concrete_complete.csv,data/Concrete/Concrete_MCAR_30per.csv,SNI,3,,"Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Duration,ConcreteCS ",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_Concrete_MCAR_30per_SNI_s5,data/Concrete_complete.csv,data/Concrete/Concrete_MCAR_30per.csv,SNI,5,,"Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Duration,ConcreteCS ",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_Concrete_MCAR_30per_SNI_s8,data/Concrete_complete.csv,data/Concrete/Concrete_MCAR_30per.csv,SNI,8,,"Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Duration,ConcreteCS ",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_Concrete_MAR_30per_SNI_s1,data/Concrete_complete.csv,data/Concrete/Concrete_MAR_30per.csv,SNI,1,,"Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Duration,ConcreteCS ",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_Concrete_MAR_30per_SNI_s2,data/Concrete_complete.csv,data/Concrete/Concrete_MAR_30per.csv,SNI,2,,"Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Duration,ConcreteCS ",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_Concrete_MAR_30per_SNI_s3,data/Concrete_complete.csv,data/Concrete/Concrete_MAR_30per.csv,SNI,3,,"Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Duration,ConcreteCS ",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_Concrete_MAR_30per_SNI_s5,data/Concrete_complete.csv,data/Concrete/Concrete_MAR_30per.csv,SNI,5,,"Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Duration,ConcreteCS ",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_Concrete_MAR_30per_SNI_s8,data/Concrete_complete.csv,data/Concrete/Concrete_MAR_30per.csv,SNI,8,,"Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Duration,ConcreteCS ",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_eICU_MCAR_30per_SNI_s1,data/eICU_complete.csv,data/eICU/eICU_MCAR_30per.csv,SNI,1,"mechanical_ventilation_std,vasopressor_use_std,age_band,gender_std,composite_risk_score","map_mmhg,lactate_mmol_l,creatinine_mg_dl,age_years,gcs,vasopressor_dose,hours_since_admission,sbp_min,dbp_min,hr_max,resprate_max,spo2_min,hemoglobin_min,sodium_min,urine_output_min",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_eICU_MCAR_30per_SNI_s2,data/eICU_complete.csv,data/eICU/eICU_MCAR_30per.csv,SNI,2,"mechanical_ventilation_std,vasopressor_use_std,age_band,gender_std,composite_risk_score","map_mmhg,lactate_mmol_l,creatinine_mg_dl,age_years,gcs,vasopressor_dose,hours_since_admission,sbp_min,dbp_min,hr_max,resprate_max,spo2_min,hemoglobin_min,sodium_min,urine_output_min",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_eICU_MCAR_30per_SNI_s3,data/eICU_complete.csv,data/eICU/eICU_MCAR_30per.csv,SNI,3,"mechanical_ventilation_std,vasopressor_use_std,age_band,gender_std,composite_risk_score","map_mmhg,lactate_mmol_l,creatinine_mg_dl,age_years,gcs,vasopressor_dose,hours_since_admission,sbp_min,dbp_min,hr_max,resprate_max,spo2_min,hemoglobin_min,sodium_min,urine_output_min",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_eICU_MCAR_30per_SNI_s5,data/eICU_complete.csv,data/eICU/eICU_MCAR_30per.csv,SNI,5,"mechanical_ventilation_std,vasopressor_use_std,age_band,gender_std,composite_risk_score","map_mmhg,lactate_mmol_l,creatinine_mg_dl,age_years,gcs,vasopressor_dose,hours_since_admission,sbp_min,dbp_min,hr_max,resprate_max,spo2_min,hemoglobin_min,sodium_min,urine_output_min",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_eICU_MCAR_30per_SNI_s8,data/eICU_complete.csv,data/eICU/eICU_MCAR_30per.csv,SNI,8,"mechanical_ventilation_std,vasopressor_use_std,age_band,gender_std,composite_risk_score","map_mmhg,lactate_mmol_l,creatinine_mg_dl,age_years,gcs,vasopressor_dose,hours_since_admission,sbp_min,dbp_min,hr_max,resprate_max,spo2_min,hemoglobin_min,sodium_min,urine_output_min",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_eICU_MAR_30per_SNI_s1,data/eICU_complete.csv,data/eICU/eICU_MAR_30per.csv,SNI,1,"mechanical_ventilation_std,vasopressor_use_std,age_band,gender_std,composite_risk_score","map_mmhg,lactate_mmol_l,creatinine_mg_dl,age_years,gcs,vasopressor_dose,hours_since_admission,sbp_min,dbp_min,hr_max,resprate_max,spo2_min,hemoglobin_min,sodium_min,urine_output_min",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_eICU_MAR_30per_SNI_s2,data/eICU_complete.csv,data/eICU/eICU_MAR_30per.csv,SNI,2,"mechanical_ventilation_std,vasopressor_use_std,age_band,gender_std,composite_risk_score","map_mmhg,lactate_mmol_l,creatinine_mg_dl,age_years,gcs,vasopressor_dose,hours_since_admission,sbp_min,dbp_min,hr_max,resprate_max,spo2_min,hemoglobin_min,sodium_min,urine_output_min",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_eICU_MAR_30per_SNI_s3,data/eICU_complete.csv,data/eICU/eICU_MAR_30per.csv,SNI,3,"mechanical_ventilation_std,vasopressor_use_std,age_band,gender_std,composite_risk_score","map_mmhg,lactate_mmol_l,creatinine_mg_dl,age_years,gcs,vasopressor_dose,hours_since_admission,sbp_min,dbp_min,hr_max,resprate_max,spo2_min,hemoglobin_min,sodium_min,urine_output_min",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_eICU_MAR_30per_SNI_s5,data/eICU_complete.csv,data/eICU/eICU_MAR_30per.csv,SNI,5,"mechanical_ventilation_std,vasopressor_use_std,age_band,gender_std,composite_risk_score","map_mmhg,lactate_mmol_l,creatinine_mg_dl,age_years,gcs,vasopressor_dose,hours_since_admission,sbp_min,dbp_min,hr_max,resprate_max,spo2_min,hemoglobin_min,sodium_min,urine_output_min",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_eICU_MAR_30per_SNI_s8,data/eICU_complete.csv,data/eICU/eICU_MAR_30per.csv,SNI,8,"mechanical_ventilation_std,vasopressor_use_std,age_band,gender_std,composite_risk_score","map_mmhg,lactate_mmol_l,creatinine_mg_dl,age_years,gcs,vasopressor_dose,hours_since_admission,sbp_min,dbp_min,hr_max,resprate_max,spo2_min,hemoglobin_min,sodium_min,urine_output_min",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_MIMIC_MCAR_30per_SNI_s1,data/MIMIC_complete.csv,data/MIMIC/MIMIC_MCAR_30per.csv,SNI,1,"SpO2,ALARM","RESP,ABP,SBP,DBP,HR,PULSE",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_MIMIC_MCAR_30per_SNI_s2,data/MIMIC_complete.csv,data/MIMIC/MIMIC_MCAR_30per.csv,SNI,2,"SpO2,ALARM","RESP,ABP,SBP,DBP,HR,PULSE",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_MIMIC_MCAR_30per_SNI_s3,data/MIMIC_complete.csv,data/MIMIC/MIMIC_MCAR_30per.csv,SNI,3,"SpO2,ALARM","RESP,ABP,SBP,DBP,HR,PULSE",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_MIMIC_MCAR_30per_SNI_s5,data/MIMIC_complete.csv,data/MIMIC/MIMIC_MCAR_30per.csv,SNI,5,"SpO2,ALARM","RESP,ABP,SBP,DBP,HR,PULSE",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_MIMIC_MCAR_30per_SNI_s8,data/MIMIC_complete.csv,data/MIMIC/MIMIC_MCAR_30per.csv,SNI,8,"SpO2,ALARM","RESP,ABP,SBP,DBP,HR,PULSE",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_MIMIC_MAR_30per_SNI_s1,data/MIMIC_complete.csv,data/MIMIC/MIMIC_MAR_30per.csv,SNI,1,"SpO2,ALARM","RESP,ABP,SBP,DBP,HR,PULSE",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_MIMIC_MAR_30per_SNI_s2,data/MIMIC_complete.csv,data/MIMIC/MIMIC_MAR_30per.csv,SNI,2,"SpO2,ALARM","RESP,ABP,SBP,DBP,HR,PULSE",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_MIMIC_MAR_30per_SNI_s3,data/MIMIC_complete.csv,data/MIMIC/MIMIC_MAR_30per.csv,SNI,3,"SpO2,ALARM","RESP,ABP,SBP,DBP,HR,PULSE",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_MIMIC_MAR_30per_SNI_s5,data/MIMIC_complete.csv,data/MIMIC/MIMIC_MAR_30per.csv,SNI,5,"SpO2,ALARM","RESP,ABP,SBP,DBP,HR,PULSE",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_MIMIC_MAR_30per_SNI_s8,data/MIMIC_complete.csv,data/MIMIC/MIMIC_MAR_30per.csv,SNI,8,"SpO2,ALARM","RESP,ABP,SBP,DBP,HR,PULSE",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_NHANES_MCAR_30per_SNI_s1,data/NHANES_complete.csv,data/NHANES/NHANES_MCAR_30per.csv,SNI,1,"gender_std,age_band","waist_circumference,systolic_bp,diastolic_bp,triglycerides,hdl_cholesterol,fasting_glucose,age,bmi,hba1c,metabolic_score",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_NHANES_MCAR_30per_SNI_s2,data/NHANES_complete.csv,data/NHANES/NHANES_MCAR_30per.csv,SNI,2,"gender_std,age_band","waist_circumference,systolic_bp,diastolic_bp,triglycerides,hdl_cholesterol,fasting_glucose,age,bmi,hba1c,metabolic_score",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_NHANES_MCAR_30per_SNI_s3,data/NHANES_complete.csv,data/NHANES/NHANES_MCAR_30per.csv,SNI,3,"gender_std,age_band","waist_circumference,systolic_bp,diastolic_bp,triglycerides,hdl_cholesterol,fasting_glucose,age,bmi,hba1c,metabolic_score",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_NHANES_MCAR_30per_SNI_s5,data/NHANES_complete.csv,data/NHANES/NHANES_MCAR_30per.csv,SNI,5,"gender_std,age_band","waist_circumference,systolic_bp,diastolic_bp,triglycerides,hdl_cholesterol,fasting_glucose,age,bmi,hba1c,metabolic_score",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_NHANES_MCAR_30per_SNI_s8,data/NHANES_complete.csv,data/NHANES/NHANES_MCAR_30per.csv,SNI,8,"gender_std,age_band","waist_circumference,systolic_bp,diastolic_bp,triglycerides,hdl_cholesterol,fasting_glucose,age,bmi,hba1c,metabolic_score",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_NHANES_MAR_30per_SNI_s1,data/NHANES_complete.csv,data/NHANES/NHANES_MAR_30per.csv,SNI,1,"gender_std,age_band","waist_circumference,systolic_bp,diastolic_bp,triglycerides,hdl_cholesterol,fasting_glucose,age,bmi,hba1c,metabolic_score",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_NHANES_MAR_30per_SNI_s2,data/NHANES_complete.csv,data/NHANES/NHANES_MAR_30per.csv,SNI,2,"gender_std,age_band","waist_circumference,systolic_bp,diastolic_bp,triglycerides,hdl_cholesterol,fasting_glucose,age,bmi,hba1c,metabolic_score",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_NHANES_MAR_30per_SNI_s3,data/NHANES_complete.csv,data/NHANES/NHANES_MAR_30per.csv,SNI,3,"gender_std,age_band","waist_circumference,systolic_bp,diastolic_bp,triglycerides,hdl_cholesterol,fasting_glucose,age,bmi,hba1c,metabolic_score",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_NHANES_MAR_30per_SNI_s5,data/NHANES_complete.csv,data/NHANES/NHANES_MAR_30per.csv,SNI,5,"gender_std,age_band","waist_circumference,systolic_bp,diastolic_bp,triglycerides,hdl_cholesterol,fasting_glucose,age,bmi,hba1c,metabolic_score",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_NHANES_MAR_30per_SNI_s8,data/NHANES_complete.csv,data/NHANES/NHANES_MAR_30per.csv,SNI,8,"gender_std,age_band","waist_circumference,systolic_bp,diastolic_bp,triglycerides,hdl_cholesterol,fasting_glucose,age,bmi,hba1c,metabolic_score",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
