ID,IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode,medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop
41,3,1,,,2,,0.51,0.72,0.1,
42,4,3,3,,,,,0.67,0.17,0.06
43,,,3,1,,0.16,,0.3,,
44,1,3,1,3,6,,0.27,0.68,0.17,
45,1,3,1,3,2,,0.18,,0.07,
46,,,,3,6,,,,,
47,,,,3,,,0.32,,,
48,2,1,,,,0.18,,,,0.12
49,3,,1,,6,0.37,,0.62,0.18,0.11
50,,1,,,2,0.23,,0.57,,
51,,,,3,1,0.24,,0.44,0.43,
52,3,,,1,6,,,,,
53,,,,3,,,0.23,,,
54,1,,1,4,,,0.24,,,0.05
55,,,,,1,,0.53,0.59,0.43,0.1
56,,,3,,,0.13,,,,
57,1,,1,,,,0.25,,0.16,
58,,1,,,6,0.17,,0.46,0.43,
59,,3,1,,4,0.34,,,0.3,
60,3,,,4,2,,0.22,0.66,0.1,0.05
61,1,3,1,4,,,0.2,,0.08,0.03
62,,1,,4,,,0.18,,0.3,
63,,,,4,6,0.16,,0.57,,0.07
64,,1,3,,,0.24,,0.52,,
65,2,1,,,6,0.18,,0.45,0.44,
66,1,3,1,,6,,,,,
67,,,,,,,0.31,0.42,0.37,0.61
68,1,3,,4,2,,0.21,,0.08,0.03
69,,,2,,,0.28,0.75,0.42,0.4,
70,,1,,4,,0.22,0.23,0.59,,0.05
71,1,,1,4,1,0.91,0.07,,0.04,0.04
72,,1,1,3,,0.48,0.2,,0.1,0.21
73,,,1,,1,,,,,0.05
74,,1,,4,,,0.18,,0.06,0.02
75,,3,,,2,,0.3,0.56,0.18,
76,4,3,,3,2,0.26,,0.44,0.24,
77,,,,2,,0.23,0.51,0.53,0.39,
78,,,,,,0.11,,0.36,,
79,,,,,6,0.15,,0.42,,
80,3,,1,,,,0.26,0.56,,
81,,3,1,3,2,,,,0.28,
82,,,3,,,0.2,,0.51,0.44,
83,2,1,3,1,,0.15,0.33,0.65,,
84,3,,1,4,1,,,,,0.0
85,,1,1,4,,,0.43,0.54,,
86,,,3,4,,0.14,0.32,,0.31,0.06
87,,1,,,,0.28,0.15,,0.2,
88,3,,,,6,,0.12,0.76,0.11,0.1
89,,1,,3,6,0.15,,0.52,,
90,,,,,,0.26,,,0.19,
91,4,1,1,,,,0.12,0.66,,0.63
92,,3,,4,3,0.41,0.16,,0.24,0.05
93,,,1,4,,,0.21,,0.11,0.03
94,3,,3,2,6,,0.18,,0.09,0.12
95,3,3,1,,,0.4,0.31,,0.22,
96,,,,,,,,0.58,0.19,
97,,1,,1,,0.17,,0.41,,
98,4,,,4,1,0.21,,,,
99,,2,,,,,0.35,,0.03,0.09
100,,,,2,,0.33,0.45,0.57,0.23,
101,,,,1,5,0.21,,0.59,0.42,
102,3,,3,4,,,0.52,0.72,0.12,0.02
103,,,,1,,,,0.54,0.28,
104,,,,,,0.22,,,,
105,,,1,,,0.16,0.07,,0.31,
106,2,1,,,3,,,0.22,,
107,,3,1,3,,0.24,,0.55,,0.24
108,1,3,1,,,,,,,0.09
109,,1,3,3,,0.16,,0.62,,0.26
110,,,1,,,0.17,,0.45,,
111,,3,3,,,0.28,,0.45,0.24,
112,3,,,4,,0.34,0.15,0.85,0.09,0.05
113,1,,1,4,2,,0.26,,0.09,0.06
114,1,3,1,3,,,0.24,,0.15,
115,2,,3,1,,0.16,,0.36,,0.51
116,,1,,4,2,,0.12,1.0,0.07,0.04
117,,3,,,6,0.3,,,,
118,1,,,4,,,0.09,,0.09,
119,3,,1,4,,0.35,0.22,,0.17,
120,,,1,,,,0.27,0.52,0.24,
121,3,3,1,3,4,,0.26,,0.19,0.22
122,1,,1,4,2,,0.19,,0.02,0.05
123,,,1,4,1,,,,0.08,0.03
124,3,,1,,4,,0.11,,,
125,,1,1,3,,0.32,,0.62,0.2,0.17
126,,,,3,1,0.38,0.41,,,
127,3,,1,3,2,,0.06,,0.06,0.17
128,3,3,1,,,0.36,0.26,0.61,0.3,0.14
129,4,,2,1,6,0.27,,0.55,,
130,4,,,4,1,0.27,0.42,0.7,,0.03
131,2,1,,3,,0.09,,0.2,0.85,
132,3,1,,2,,,0.19,0.75,,0.15
133,,,3,,6,0.15,,,,0.13
134,1,,3,,6,,0.25,,0.09,0.27
135,3,3,1,,,0.47,,0.76,0.11,0.08
136,1,,1,4,,,0.34,,0.04,0.06
137,1,,1,,,,0.21,,0.08,
138,,3,1,3,,,0.16,0.51,0.14,0.16
139,,1,3,1,4,0.15,0.49,,,
140,1,,1,4,6,,0.13,,0.05,0.02
141,,3,,,6,,0.22,,0.12,0.08
142,1,3,,,2,,,,0.09,0.09
143,,,3,3,,0.17,,0.34,,0.3
144,,1,1,,,,0.28,0.93,0.06,0.05
145,3,,,3,6,0.33,,,0.26,
146,,,,,2,0.29,,0.39,,
147,,3,,,3,0.17,,0.3,0.7,
148,2,1,3,4,2,0.16,,0.54,,
149,,,3,,4,,0.38,0.37,0.43,
150,,1,3,,,,0.31,0.47,,
151,2,,,,,0.2,,0.63,,
152,4,3,1,,,,0.47,0.39,,
153,3,3,1,4,,0.34,,,0.19,0.03
154,,3,1,3,,,0.32,,0.08,0.26
155,,,,,,0.12,,0.19,,
156,4,3,,,,0.25,,0.34,0.45,
157,,3,1,4,6,,,,0.1,0.03
158,2,1,,,,0.11,,0.13,,
159,4,3,1,,4,0.25,0.27,,,
160,,1,,4,5,,0.2,,,0.06
161,2,,1,4,1,0.12,0.42,,,0.07
162,,,,4,,,0.22,0.73,0.08,0.03
163,1,,,3,,,0.42,,0.09,
164,1,,1,2,,,,,0.11,0.11
165,,,1,4,2,,,,0.05,0.05
166,1,3,,3,,,0.16,,,
167,2,1,1,4,,0.12,,0.7,,0.05
168,4,1,3,2,,0.22,0.3,,,
169,,1,1,,,0.21,,0.31,0.41,
170,2,,3,,1,0.19,,0.53,0.41,
171,,,1,3,,0.11,,0.47,0.61,0.23
172,,1,1,2,,,0.27,0.81,0.09,0.08
173,,1,,,1,,0.42,,0.3,0.08
174,,3,,3,5,0.12,,,,0.2
175,,,,,,,,0.36,0.42,
176,1,,1,3,2,,0.27,,0.07,0.17
177,,,,4,,,0.06,,,0.07
178,,,1,,,0.29,,0.25,,
179,4,1,3,,,,0.48,,0.36,0.1
180,,3,,3,,,0.18,0.6,,
181,,1,,,1,0.18,,0.39,0.4,
182,,,1,,,,,0.46,,0.25
183,,,,3,,0.16,,0.58,,
184,1,,1,4,,,0.11,0.96,0.04,0.02
185,,,1,3,,,0.19,0.62,0.09,0.19
186,4,,1,,,0.29,,0.46,,
187,1,,1,,4,,0.2,,0.12,0.12
188,1,3,,4,,,0.15,,,0.01
189,1,3,1,4,,,0.05,,0.06,0.06
190,3,,,,1,0.49,0.22,,0.09,
191,3,,,,,0.45,,,0.19,
192,3,,1,3,,,0.38,0.68,,0.21
193,,1,1,2,1,0.05,,0.57,1.0,0.1
194,,,,4,5,,0.15,,0.04,0.07
195,3,,1,4,6,,0.24,0.91,,0.02
196,1,3,,4,2,0.68,,,0.04,0.03
197,3,,1,4,,,0.19,,0.1,0.01
198,,,3,,4,0.17,,,,
199,,,,3,6,0.23,,,0.37,0.26
200,2,1,,,,0.16,0.37,0.27,,0.42
201,3,,,3,,0.41,0.29,,,
202,1,3,1,2,2,,0.21,,0.06,0.13
203,,,,,,0.28,,0.61,0.3,
204,3,,3,,6,,,,0.24,
205,,,3,,,0.32,0.07,,0.14,0.05
206,4,,1,3,,0.23,0.4,,0.45,
207,1,,1,3,,,0.2,,0.12,0.26
208,,,,,1,,0.34,0.69,0.23,0.19
209,1,,1,,2,,0.27,,0.1,
210,2,1,1,,,0.18,,,,0.15
211,3,,1,,4,0.35,0.3,,0.16,
212,3,,1,4,,0.33,,0.78,0.13,
213,,,,1,,0.27,0.26,0.4,0.27,
214,1,,1,4,,,0.22,,0.08,
215,3,,1,3,,0.44,0.31,0.83,0.18,
216,4,,,1,6,0.32,0.4,,,
217,3,1,1,,,0.36,0.21,0.7,,0.08
218,,1,3,,6,,0.4,,0.19,0.04
219,,,,3,4,0.15,,0.34,,0.16
220,,3,1,4,,,0.23,,0.18,0.06
221,,1,3,,1,0.25,0.2,,0.28,0.04
222,3,,1,,,,,0.42,0.3,
223,,3,,,,0.17,,0.23,,
224,3,,,4,1,,,,0.11,0.05
225,,1,,3,1,0.25,0.29,0.66,,0.16
226,,3,,,,,0.48,0.44,,
227,,1,,,,0.12,,0.43,,
228,,,,,,0.25,,0.51,0.27,
229,2,1,,,4,,,,,
230,,3,1,,4,0.25,,0.22,,0.42
231,,1,,4,1,0.17,0.48,0.54,,0.04
232,,,,4,,,,,0.19,0.06
233,2,1,,,6,0.18,,0.52,0.5,
234,,3,1,,,0.23,,0.05,,
235,1,3,,,,,,,0.07,
236,,,,2,,0.23,,,0.43,0.11
237,4,,,3,6,,0.17,,0.25,0.27
238,1,3,1,4,1,,,,0.08,0.02
239,3,,,,,0.36,0.3,,,
240,,,,,6,,,0.43,0.28,0.18
241,1,,1,4,,0.81,0.21,,0.06,0.04
242,2,1,,,,0.17,0.27,0.39,0.38,0.12
243,4,3,1,3,6,,,,,
244,4,,2,,6,,0.63,0.51,,
245,,,,3,1,0.23,,,,
246,3,,,,6,,0.27,0.59,0.19,
247,3,3,,,6,0.35,,0.47,0.24,
248,,3,2,3,4,0.11,,0.44,,
249,,,1,,,0.18,0.43,0.18,,
250,2,,,4,,0.17,0.38,0.52,,0.03
251,3,,,1,,,,0.48,0.28,
252,,,,,4,0.21,,0.4,,
253,1,3,1,4,,,0.07,0.89,0.03,
254,,3,,,,,0.32,,,0.09
255,1,3,1,4,,,0.15,,0.05,0.04
256,,3,,,4,0.17,,0.39,,
257,,1,,3,,0.05,,0.41,,0.19
258,3,,3,,,,0.08,,0.12,
259,,,,4,,,0.76,,,
260,2,1,,2,5,0.12,,,,
261,4,1,3,,,0.22,0.29,0.57,,
262,,,,1,,0.2,,0.32,0.35,
263,,,1,,,0.2,,,,0.67
264,1,,,4,,,0.17,,0.04,0.01
265,,,,4,,,0.34,,0.11,0.05
266,3,1,1,,,,,,0.24,
267,,,1,,,0.24,0.44,0.41,,
268,4,,3,3,1,0.28,0.39,,0.21,0.17
269,,1,1,4,1,0.1,0.34,,,0.05
270,,1,3,,2,,0.36,0.43,,
271,,,1,2,,,,,0.11,0.11
272,,,1,3,,,,,,0.24
273,4,3,,1,,0.25,0.22,,,
274,,,2,,1,0.19,,0.38,,
275,,,3,2,,,,0.81,0.09,0.13
276,3,,,,6,0.44,0.44,0.56,0.28,
277,,,,,,,,0.31,,
278,,,1,,2,,0.28,,0.08,0.08
279,3,1,2,4,,,,0.66,,0.05
280,,,,4,1,0.27,,0.7,0.25,0.03
281,,,1,4,5,0.11,,0.68,,0.03
282,4,,,,,0.27,0.57,0.49,,0.12
283,4,,,,2,0.24,0.22,0.7,0.28,0.06
284,,,,3,6,0.23,0.28,0.45,,0.32
285,3,,2,3,,0.47,,,,
286,,3,3,,,,,0.48,,0.14
287,,,1,1,2,0.31,,0.33,,
288,1,,,,2,,0.2,,0.04,
289,,,3,1,,0.22,,0.57,0.44,
290,3,,,,,0.42,,,0.1,
291,,,,,,,,0.66,,0.1
292,4,3,1,,4,0.23,0.28,0.35,,
293,1,3,1,4,2,,0.16,,0.03,0.03
294,,,,,2,,,0.44,,0.28
295,,3,,,1,0.26,0.45,0.7,0.27,
296,1,,3,,,,0.21,0.81,0.07,0.12
297,,3,,,6,0.33,,,0.44,
298,1,,1,,,1.0,,,0.0,0.02
299,3,,,,6,0.36,0.41,,,
300,2,,3,,6,0.16,,0.32,,
301,,,,2,1,0.29,0.23,,,
302,,,,,4,0.15,0.19,0.64,,0.03
303,,,1,,4,0.26,0.37,0.54,0.45,
304,,1,1,3,,0.21,0.35,0.47,,0.25
305,,,1,4,5,0.26,0.38,0.59,0.22,0.06
306,1,,,,,,0.19,,,
307,,3,3,,,,0.51,,0.42,
308,,1,,3,1,0.1,0.91,0.32,,
309,1,,,4,,,0.1,,0.04,0.04
310,1,3,1,4,,,,,0.08,
311,3,,,3,1,0.37,,0.69,,
312,,,,2,,0.49,0.3,,0.07,0.12
313,,3,,,,0.34,,0.58,0.22,
314,,,,,,0.14,,0.35,,
315,1,3,1,,,,0.19,0.73,0.08,
316,2,3,,3,2,0.15,,0.31,,0.3
317,2,1,,,,0.19,,0.27,0.44,
318,4,1,,3,,0.21,,0.55,,0.31
319,,,,4,1,,0.21,,,0.04
320,,1,,,6,0.21,0.46,,,0.18
321,2,1,,1,,0.18,0.24,0.5,,
322,,1,,,,0.19,,0.67,,0.09
323,,1,,4,2,,0.39,0.55,,
324,,,,,,0.18,,0.66,0.38,0.27
325,3,,,,6,0.48,0.41,0.62,0.23,
326,2,,,,5,0.11,,0.58,,
327,,1,3,4,1,,,0.6,,0.07
328,,,1,3,,,,,0.1,
329,3,,1,,,,,0.52,0.37,
330,3,,1,1,6,,,0.59,0.4,
331,3,,,4,1,,0.25,,0.1,0.07
332,3,3,1,,,,0.32,0.67,,
333,1,,,4,2,,0.13,,0.03,0.04
334,,,,,,0.14,0.65,0.0,,
335,2,1,,,,,0.43,0.49,,
336,1,3,1,4,,,0.12,,0.07,0.03
337,,,1,4,6,0.16,,,,0.07
338,1,3,,4,1,,0.1,,0.06,
339,3,,3,,,,,0.56,0.15,0.12
340,,,,,,0.43,0.31,,0.17,0.04
341,3,3,,2,,,,,,
342,3,1,,,,,0.2,,0.12,0.1
343,1,1,1,4,,,,,0.09,
344,,,,,,,,0.72,,0.04
345,,,,,1,0.26,,0.62,0.25,0.02
346,,3,,3,,0.25,,0.59,0.35,
347,,,1,,6,0.29,0.28,0.47,0.32,
348,,3,1,2,6,0.2,0.34,0.58,,0.08
349,1,3,1,,,,,,0.05,0.04
350,,1,1,,,0.1,0.28,0.72,,0.09
351,1,,1,4,2,,0.14,,0.05,0.06
352,4,1,1,,1,0.26,0.36,,0.33,0.08
353,,1,1,,,0.18,0.18,0.65,,0.08
354,3,,,2,1,0.39,0.28,0.76,0.09,0.1
355,,3,1,,6,0.32,0.24,,0.23,0.03
356,,1,,,,0.2,,,,
357,3,3,1,4,,0.46,0.31,,,0.06
358,1,,,4,2,,,,0.09,0.04
359,,,2,4,1,0.15,,0.47,0.42,0.03
360,3,,,,5,0.41,0.24,,,0.07
361,,,1,,,0.24,,0.63,0.39,
362,4,3,,,1,0.29,,0.48,0.16,
363,,3,,,4,0.13,,,,
364,,1,,,6,0.25,,,,
365,,3,3,4,,0.32,,,0.17,0.06
366,4,3,3,,1,0.21,,0.4,,
367,,,3,,,0.17,,0.38,,
368,2,1,,,,,,0.62,,0.14
369,,,1,2,,0.05,0.36,,,
370,3,,,4,,,0.17,0.74,0.07,0.07
371,2,3,3,,,0.17,,0.33,,
372,,3,1,,4,,0.2,0.49,,
373,3,1,1,4,,,,0.69,0.07,0.03
374,1,,1,,,0.6,0.42,,0.06,0.04
375,,1,,,,,0.29,0.33,,0.51
376,,,1,,6,,,,0.06,
377,1,3,,4,,,0.12,,,0.02
378,,,,,,,,0.64,0.31,0.08
379,1,,1,3,2,,0.31,0.52,0.21,0.26
380,3,3,1,3,,,0.18,,0.24,0.23
381,,,2,,2,0.17,,0.25,,
382,1,,1,4,,,0.1,,0.16,0.03
383,1,,1,4,,,0.1,,0.05,0.04
384,,1,,,,0.19,0.4,0.54,,0.15
385,,,,1,2,,,0.41,,
386,,1,3,3,5,0.17,,0.49,0.45,
387,1,,,,,,,0.73,,
388,4,1,,1,,0.21,0.44,,0.36,
389,1,,,,6,0.5,0.47,0.75,,
390,1,,,4,1,,0.24,,0.08,0.03
391,1,,,,6,,0.12,,0.09,0.08
392,4,1,3,4,,0.23,0.31,,,0.04
393,,,,,,0.23,,0.62,,
394,,,,,,0.2,,0.52,,0.58
395,,,1,,,,0.14,,0.02,
396,,1,3,,6,,0.4,0.66,,
397,2,3,,1,,0.07,,0.53,,
398,3,3,,,,,0.19,,0.13,0.09
399,4,,1,3,,0.25,0.16,,0.32,
400,,3,3,,,0.15,0.47,0.23,,
401,,3,,,1,0.18,0.58,0.42,,
402,2,,,,,0.2,,0.18,0.59,
403,,,,,3,0.14,,0.5,,0.05
404,4,,,3,,,0.54,0.73,,0.21
405,4,1,3,,6,0.22,,,,
406,,,,3,,0.21,,,,
407,,,,,1,,,0.53,0.22,
408,,3,,1,6,,,0.36,,
409,,,,,,0.21,,0.3,,
410,1,3,,3,6,,0.15,0.59,,
411,,,,1,4,0.12,,0.06,,
412,,,,3,,0.31,0.41,0.43,,0.2
413,,,,,,0.22,0.21,0.45,,0.21
414,,3,3,,4,0.21,,0.01,,
415,,,,2,2,0.5,,0.71,,0.1
416,,,,,,0.25,0.34,,0.17,0.14
417,4,1,,4,1,,0.24,,0.19,0.01
418,,3,,,,0.35,,0.72,0.22,0.13
419,1,1,1,3,,,0.24,,,
420,,1,,2,,0.24,0.47,,,
421,,,,1,,0.12,,0.28,,
422,,3,,,,0.32,,0.53,0.24,
423,3,3,3,4,,,0.26,,0.08,0.06
424,,,,,,0.16,,0.36,,
425,,,1,,2,,,,0.05,0.03
426,4,,,,,0.22,,0.53,,
427,,,1,4,,0.48,0.25,0.9,,0.0
428,,,,,4,0.13,0.48,0.26,,
429,4,1,3,1,,,,0.67,0.39,
430,3,,3,,,,,0.64,,0.42
431,3,1,,4,2,,0.47,,,0.03
432,4,,1,1,6,0.27,,,,
433,1,,1,,1,,0.04,,,0.06
434,2,,3,3,3,0.11,,0.23,,
435,,,1,4,,,0.24,,0.09,0.04
436,1,,1,,2,,0.22,0.77,0.09,0.1
437,,,,,,0.21,,0.59,,0.06
438,1,,,4,,,0.08,,,0.04
439,,3,1,3,,,0.24,,,0.16
440,2,,3,3,6,0.12,,0.36,0.57,
441,3,,,3,4,0.39,0.23,,0.1,
442,,,,1,4,0.22,,0.49,,
443,,1,,4,,0.14,,0.66,,0.04
444,3,,3,4,,0.38,,0.67,0.09,0.05
445,,3,1,,,0.15,,,,
446,4,1,1,,,,,0.61,,
447,2,1,,1,4,0.19,,,0.44,
448,,3,,,2,0.31,,0.16,,
449,1,,1,4,2,,0.14,,0.04,0.03
450,1,,,4,,,0.09,,0.08,0.05
451,,1,,,,0.1,,0.21,,
452,,1,,4,,,0.35,0.7,,0.05
453,,3,,3,4,0.18,,0.5,,
454,2,1,3,4,1,0.15,,0.43,,0.07
455,,,3,,5,0.1,,0.37,,
456,,3,3,2,6,0.23,,,0.34,0.1
457,3,3,,2,,0.34,0.2,,,
458,2,,,1,4,0.15,,0.22,,
459,,,2,4,4,0.25,0.38,0.57,,0.07
460,1,1,1,4,,0.68,0.3,,0.04,
461,,1,,1,4,0.16,0.8,,,
462,1,3,1,4,1,,0.14,0.92,0.08,0.04
463,4,3,2,,6,0.26,,,,
464,3,1,1,1,2,0.47,0.45,,0.14,
465,,,1,3,,0.17,,,,0.33
466,2,1,,,,0.11,0.61,0.53,,0.09
467,1,,1,3,2,0.87,0.18,,,0.28
468,1,,1,,6,,0.15,0.71,0.13,
469,4,3,,2,1,0.28,,0.6,0.14,0.15
470,3,,,4,,,0.31,0.64,0.1,0.03
471,,,3,,6,0.28,0.39,0.42,0.31,
472,,,,4,6,,0.17,,,0.05
473,,3,,1,,0.16,,0.34,,
474,,,1,1,,0.26,0.22,,,
475,,,,,4,,,0.28,,
476,,,3,3,6,0.17,0.75,0.46,,
477,,,,2,1,0.23,,0.38,,0.14
478,3,3,1,1,6,0.35,,,0.43,
479,4,1,1,4,1,0.25,0.27,0.71,0.2,0.06
480,,1,2,3,,0.14,,0.42,,
481,,,2,,,0.22,0.22,,0.26,
482,1,,1,,6,,,,0.12,0.22
483,,1,3,,,0.09,,0.3,,
484,3,3,1,,,0.38,0.22,,0.13,0.11
485,1,,1,4,,,0.16,0.95,0.08,0.02
486,4,,1,,,0.23,,0.5,0.47,0.25
487,,,,,,,0.29,0.66,0.19,0.1
488,4,,1,4,1,0.26,,,,0.05
489,2,1,3,3,,0.13,,0.42,,
490,3,,,,,,,0.72,0.15,0.04
491,,3,1,,,,0.13,,0.02,0.01
492,2,,,,3,0.09,,0.1,,0.29
493,1,,1,2,,,0.1,,0.02,0.1
494,,3,,4,,,0.2,,0.04,0.05
495,2,,,,6,0.1,,0.39,0.88,
496,,,3,,5,0.07,,0.45,,0.22
497,1,,,,2,,0.26,0.62,0.12,0.17
498,,,3,,1,,,0.49,0.4,0.15
499,3,,,2,,,0.27,,0.09,0.14
500,4,,,1,,,,,,
501,,,1,,,0.51,0.34,0.69,,
502,2,,1,3,4,0.19,0.29,0.62,,0.24
503,,,1,,,,0.3,,0.12,0.12
504,,1,,4,1,,,0.63,,0.04
505,4,,,3,,0.25,,,,
506,,3,,,,0.14,,0.38,,
507,,3,,,1,0.21,0.62,0.41,,0.13
508,,3,1,,,0.37,0.19,0.65,,0.13
509,,1,,3,,,,,,0.24
510,,,,4,2,0.19,,,,0.04
511,3,3,3,2,,,0.25,0.72,0.2,0.14
512,4,3,,3,,0.27,0.5,0.5,0.33,0.22
513,2,,,3,,,,0.47,,
514,3,,1,3,,0.39,0.26,0.55,,0.22
515,4,1,1,,,,0.26,,,0.21
516,,,1,4,2,0.64,0.14,0.87,0.02,0.03
517,3,,,,,,,,0.12,
518,,,,,4,0.19,,0.63,,0.09
519,,,,,6,0.26,0.53,0.61,0.34,0.11
520,4,1,,4,,0.21,0.04,,,0.0
521,3,3,1,,,,0.17,,0.12,0.13
522,3,,,,,0.4,0.45,,,
523,4,,,,1,0.25,0.36,0.4,,
524,2,,,3,4,0.15,,0.48,,
525,,1,,,2,0.18,,,,
526,,3,1,,5,0.26,,0.5,0.36,
527,2,1,3,3,4,0.12,,,,0.25
528,2,1,,4,,,0.7,0.44,,0.07
529,3,,,,6,0.38,,,0.3,0.56
530,3,,,,2,,0.3,,,0.0
531,1,,1,,,0.58,0.18,,0.05,0.04
532,,1,3,,6,,0.29,0.69,0.2,
533,4,,,,1,0.22,0.67,,,
534,,3,1,3,6,,,,0.11,0.2
535,2,,2,4,,0.12,,0.6,0.31,0.06
536,,,3,3,,,,0.62,0.19,
537,,1,3,,1,,0.16,,0.1,0.05
538,,,,,,0.46,,0.55,0.12,0.18
539,3,,3,,2,0.48,,,0.09,0.07
540,,1,,,,0.14,0.32,0.22,,
541,3,3,1,2,2,0.44,,,0.13,0.15
542,1,,,2,,,0.25,,0.1,0.13
543,3,,1,4,,,0.15,,,0.03
544,1,3,1,,2,,0.29,,0.05,0.05
545,4,,,,,0.23,,0.33,,
546,3,3,,,6,,0.57,0.56,0.27,
547,3,,,,,,0.34,,0.17,0.11
548,3,,,3,1,,0.22,,0.08,
549,3,,,4,,0.48,,,0.07,0.06
550,,3,,3,2,0.21,0.45,0.39,,
551,1,,,4,1,,0.07,,0.06,0.01
552,,3,1,4,6,0.21,0.38,,0.41,0.05
553,1,3,3,1,6,,,,,0.52
554,1,,1,3,,,,0.58,0.15,
555,1,1,1,,2,,0.16,,0.06,0.04
556,,1,,1,4,,,,,
557,,1,3,,,0.27,,0.61,0.27,0.01
558,,,1,1,1,,,0.56,,
559,,,1,,6,,0.07,0.7,0.16,
560,1,3,1,4,6,,0.16,,0.11,0.07
561,,,,,,0.15,,0.0,,
562,,1,,2,1,0.38,0.09,0.72,0.11,
563,1,,1,,,,0.21,,0.1,
564,,3,1,,,0.16,,0.53,,0.25
565,4,,1,,6,0.32,0.55,0.44,,
566,,1,,4,1,0.2,,,0.37,0.04
567,,,,1,,0.19,0.33,0.59,,
568,,3,3,,,,,0.72,,
569,4,,,3,,0.23,,0.58,,0.33
570,,3,,,,0.17,0.46,0.55,,
571,1,,1,3,6,,,,0.08,
572,1,3,1,2,,,0.1,0.7,0.11,0.14
573,3,3,,4,2,0.38,,0.7,0.16,0.07
574,2,,1,,,0.1,0.28,0.32,,0.15
575,,,3,,,,,,0.12,0.08
576,,,1,,1,,0.26,,0.06,0.1
577,,,1,4,,,,,0.08,0.04
578,1,3,1,,,,,,0.04,
579,,,1,,1,0.25,0.23,0.65,,0.08
580,3,,,,,,,0.56,,
581,,,3,4,,,,,0.13,0.04
582,,,,3,,,0.14,,0.06,
583,,1,,3,1,,,0.62,,
584,,1,,,,0.15,,0.41,0.45,0.13
585,1,,1,,,,0.14,,0.05,0.09
586,,3,,,,0.47,0.26,,0.11,
587,,3,,,,,,0.19,,
588,2,1,,,,0.02,,,,0.52
589,,,1,,,0.34,,0.73,0.17,0.12
590,,1,,2,,0.13,0.27,0.63,,0.12
591,,1,,,5,0.05,,0.33,,
592,,,,,,0.14,0.7,0.0,,0.87
593,,,1,4,4,,0.07,,0.01,0.01
594,1,,1,4,,0.59,0.19,,0.06,0.06
595,1,,1,4,,,0.18,,,0.03
596,2,,,2,,0.2,0.6,0.55,0.38,0.11
597,1,,1,2,2,,,,0.19,0.15
598,,,1,3,,0.42,,0.58,0.22,0.24
599,,3,3,3,1,,0.29,0.41,,0.21
600,2,1,1,4,4,0.09,0.48,0.34,,0.03
601,,,1,,,0.3,,0.29,,
602,3,,1,,6,0.4,,,,
603,,1,,3,,,,0.48,0.36,0.23
604,1,3,1,,6,,0.08,,0.11,0.1
605,,3,,1,,,0.35,0.36,0.43,
606,3,,,3,,0.36,0.12,0.7,0.13,
607,,1,3,2,,0.16,,,,
608,3,,,,,,0.38,0.69,0.2,0.11
609,,3,,,,0.16,,0.4,0.44,
610,1,,,4,2,,0.13,,0.03,0.01
611,1,,1,,6,,0.3,0.63,0.19,
612,,,,,,0.14,,0.37,,0.13
613,,,,,1,0.27,0.32,0.62,,0.24
614,3,,1,,2,,0.46,0.48,0.3,0.1
615,2,1,,,6,0.13,,,,
616,,,1,,,,0.35,0.5,0.28,
